t	fg_V
0	0	0
0.002	0	0
0.0041	1.05821984416594E-09	5.27467E-09
0.006	1.09542351981631E-09	5.26791E-09
0.00800000000000001	1.16400405562651E-09	5.27109E-09
0.0101	1.27112788050927E-09	5.29675E-09
0.0121	1.40984273653632E-09	5.30974E-09
0.0141	1.58815475506355E-09	5.32716999999999E-09
0.0161	1.81034734641799E-09	5.35018999999999E-09
0.0180999999999999	2.08116607416358E-09	5.37999999999998E-09
0.0200999999999999	2.40574618081508E-09	5.41791999999998E-09
0.0220999999999999	2.78954829794648E-09	5.46538999999997E-09
0.0240999999999999	3.23830410895985E-09	5.52393999999996E-09
0.0260999999999999	3.75797193935843E-09	5.59526999999995E-09
0.0280999999999999	4.35470127762709E-09	5.68122999999994E-09
0.0300999999999999	5.03480484184627E-09	5.78385999999993E-09
0.0320999999999999	5.80473677001296E-09	5.90540999999994E-09
0.0341	6.67107565106622E-09	6.04839999999997E-09
0.036	7.58948654208222E-09	6.15445000000001E-09
0.0380000000000001	8.66315264228703E-09	6.34659000000004E-09
0.0400000000000001	9.85324361744674E-09	6.56986000000008E-09
0.0420000000000002	1.11667253103617E-08	6.82838000000012E-09
0.0440000000000002	1.26106451119738E-08	7.12684000000017E-09
0.0460000000000003	1.41921277950522E-08	7.47060000000021E-09
0.0480000000000003	1.59183721192435E-08	7.86585000000026E-09
0.0500000000000004	1.77966480322133E-08	8.31968000000031E-09
0.0520000000000005	1.98342943341661E-08	8.84032000000037E-09
0.0540000000000005	2.20387167049649E-08	9.4372300000004E-09
0.0560000000000006	2.44173860170308E-08	1.01214000000005E-08
0.0580000000000006	2.69778368751963E-08	1.09055000000005E-08
0.0600000000000007	2.97276663382377E-08	1.18043000000005E-08
0.0620000000000007	3.26745327870537E-08	1.28349000000006E-08
0.0640000000000008	3.58261549122238E-08	1.40170000000006E-08
0.0660000000000009	3.91903107995957E-08	1.53736000000006E-08
0.0680000000000009	4.27748370970873E-08	1.69313000000006E-08
0.070000000000001	4.65882660425017E-08	1.87210000000006E-08
0.072000000000001	5.99294969528504E-08	2.07782000000005E-08
0.0740000000000011	7.51384294282926E-08	2.31445000000004E-08
0.0760000000000012	9.23406565672655E-08	2.58676000000002E-08
0.0780000000000012	1.11678311574866E-07	2.90028E-08
0.0800000000000013	1.33309643784863E-07	3.56999000000052E-08
0.0820000000000013	1.5740963848198E-07	4.48329000000067E-08
0.0840000000000014	1.84170940380477E-07	5.61220000000086E-08
0.0860000000000014	2.13805026505221E-07	7.00269000000111E-08
0.0880000000000015	2.46543601006382E-07	8.70941000000142E-08
0.0900000000000016	2.82640200254619E-07	1.07971000000018E-07
0.0920000000000016	3.22372006573043E-07	1.33423000000023E-07
0.0940000000000017	3.66041875772671E-07	1.64350000000028E-07
0.0960000000000017	4.13980588650672E-07	2.01808000000035E-07
0.0980000000000018	4.66549340533438E-07	2.47035000000044E-07
0.100000000000002	5.24142486190111E-07	3.01474000000055E-07
0.102000000000002	5.87190560175009E-07	3.66806000000068E-07
0.104000000000002	6.56163594937766E-07	4.44979000000084E-07
0.106000000000002	7.31574761052427E-07	5.38252000000103E-07
0.108000000000002	8.13984356692055E-07	6.49232000000125E-07
0.110000000000002	9.04004180991049E-07	7.80923000000152E-07
0.112000000000002	1.00230235086857E-06	9.36779000000185E-07
0.114000000000002	1.1096086260363E-06	1.12076000000022E-06
0.116000000000002	1.22782999172483E-06	1.33740000000027E-06
0.118000000000002	1.36001336682744E-06	1.59187000000033E-06
0.120000000000002	1.53089624054591E-06	1.89007000000039E-06
0.122000000000002	1.73376608558302E-06	2.23871000000046E-06
0.124000000000003	1.96457497467247E-06	2.64540000000056E-06
0.126000000000002	2.22699807098425E-06	3.11877000000063E-06
0.128000000000002	2.52515630033757E-06	3.66858000000066E-06
0.130000000000002	2.86366461093645E-06	4.30584000000068E-06
0.132000000000002	3.24768474840578E-06	5.04296000000071E-06
0.134000000000002	3.68298289524376E-06	5.89390000000071E-06
0.136000000000001	4.17599254374181E-06	6.8743500000007E-06
0.138000000000001	4.73388299173289E-06	8.00191000000068E-06
0.140000000000001	5.36463387076081E-06	9.29625000000061E-06
0.142000000000001	6.25693265467722E-06	1.07794000000006E-05
0.144	7.7057813482947E-06	1.24760000000004E-05
0.146	9.3924883533664E-06	1.44133000000003E-05
0.148	1.13477665966089E-05	1.66219E-05
0.1501	1.37273392035725E-05	1.92700999999997E-05
0.1521	1.63443162759904E-05	2.21448999999993E-05
0.154099999999999	1.93465360651193E-05	2.54063999999989E-05
0.156099999999999	2.27810085095867E-05	2.91009999999983E-05
0.158099999999999	2.63032255538807E-05	3.32801999999976E-05
0.160099999999999	2.95619602283417E-05	3.80003999999968E-05
0.162099999999998	3.32418947355567E-05	4.33242999999957E-05
0.164099999999998	3.73928026173196E-05	4.93206999999944E-05
0.166099999999998	4.28437733080765E-05	5.60652999999929E-05
0.168099999999998	5.12473304039686E-05	6.36413999999913E-05
0.170099999999998	5.7996136683885E-05	7.21401999999892E-05
0.172099999999997	6.56635361536919E-05	8.16619999999868E-05
0.174099999999997	7.43604076469913E-05	9.23163999999839E-05
0.176099999999997	8.42090818503101E-05	0.000104222999999981
0.178099999999997	9.53442880887263E-05	0.000117513999999977
0.180099999999996	0.000108633741680606	0.000132329999999972
0.182099999999996	0.000124903004450475	0.000148829999999967
0.184099999999996	0.000142894724004676	0.000167179999999962
0.186099999999996	0.000160396660141602	0.000187566999999955
0.188099999999996	0.000177669588841249	0.000210190999999948
0.190099999999995	0.000197161376426473	0.00023526799999994
0.192099999999995	0.00021912179439108	0.00026303399999993
0.194099999999995	0.000246024952712073	0.000293742999999919
0.196099999999995	0.000280331430421687	0.000327670999999906
0.198099999999995	0.000315317571318535	0.000365113999999892
0.200099999999994	0.000352283283266576	0.000406390999999876
0.202099999999994	0.000390302104633861	0.000451847999999858
0.204099999999994	0.000430692391954844	0.000501853999999839
0.206099999999994	0.000483112732071753	0.000556805999999817
0.208099999999993	0.000538920198826942	0.000617128999999792
0.210099999999993	0.000596065574836231	0.000683276999999764
0.212099999999993	0.000660528364166698	0.000755736999999734
0.214099999999993	0.000730832231167704	0.0008350249999997
0.216099999999993	0.000812481201460498	0.000921693999999662
0.218099999999992	0.00089771175961369	0.00101999999999923
0.220099999999992	0.000984006337170503	0.00111999999999921
0.222099999999992	0.00107936021391454	0.00123
0.224099999999992	0.00119838893737442	0.00135
0.226099999999991	0.00132823679703136	0.00148999999999914
0.228099999999991	0.00144942177564583	0.00162999999999912
0.230099999999991	0.00158326422441147	0.0017899999999991
0.232099999999991	0.00173748196293821	0.00195999999999907
0.234099999999991	0.00191591940995972	0.00213999999999905
0.23609999999999	0.00209131416708028	0.00233999999999903
0.23809999999999	0.00227780091994575	0.00254999999999901
0.24009999999999	0.00250406399091861	0.00278999999999797
0.24209999999999	0.00271972046722246	0.00302999999999897
0.244099999999989	0.00295301796113438	0.00329999999999895
0.246099999999989	0.00321452588644574	0.00358999999999784
0.248099999999989	0.00349140934284136	0.00389999999999781
0.250099999999989	0.0037762680572017	0.00422999999999776
0.252099999999989	0.00408810965549697	0.00457999999999771
0.254099999999988	0.0044481622080718	0.00495999999999767
0.256099999999988	0.00481959037028387	0.00535999999999762
0.258099999999988	0.00518466183925088	0.00578999999999757
0.260099999999988	0.00559983346838327	0.00623999999999754
0.262099999999987	0.0060488733097532	0.00672999999999624
0.264099999999987	0.00650592822824533	0.00723999999999617
0.266099999999987	0.00699732136519632	0.00777999999999611
0.268099999999987	0.00752967596275943	0.00834999999999603
0.270099999999987	0.00804461786554523	0.00895999999999596
0.272099999999986	0.00864098638040225	0.00958999999999589
0.274099999999986	0.00926449575594836	0.0102599999999958
0.276099999999986	0.00986703246344765	0.0109699999999943
0.278099999999986	0.0105304666552648	0.0116999999999957
0.280099999999985	0.0112551517983352	0.0124699999999942
0.282099999999985	0.0119526966573704	0.0132799999999941
0.284099999999985	0.0127160817372615	0.014119999999994
0.286099999999985	0.0135289882387046	0.0149899999999939
0.288099999999985	0.0143145262966699	0.0158999999999938
0.290099999999984	0.0151712475801732	0.0168499999999922
0.292099999999984	0.0160905653584372	0.0178199999999936
0.294099999999984	0.0169783536766451	0.018839999999992
0.296099999999984	0.0179396182126799	0.0198799999999919
0.298099999999983	0.018939426501953	0.0209599999999918
0.300099999999983	0.0199285373212766	0.0220699999999917
0.302099999999983	0.0209579349017641	0.0232199999999899
0.304099999999983	0.0220372295544181	0.0243899999999897
0.306099999999983	0.0231070940188292	0.0255999999999896
0.308099999999982	0.0242013176612612	0.0268299999999894
0.310099999999982	0.0253513514910868	0.0280999999999875
0.312099999999982	0.026525926502027	0.0293899999999874
0.314099999999982	0.0277642350836746	0.0306999999999891
0.316099999999982	0.0289895499216902	0.0320499999999871
0.318099999999981	0.0301868911844805	0.0334199999999869
0.320099999999981	0.0314112271950893	0.0348099999999868
0.322099999999981	0.0327260873265566	0.0362299999999847
0.324099999999981	0.0340652123370941	0.0376599999999865
0.32609999999998	0.0353643579564451	0.0391199999999863
0.32809999999998	0.0366816503406651	0.0405999999999861
0.33009999999998	0.0380221997665403	0.042099999999984
0.33209999999998	0.0393979038702084	0.0436099999999858
0.33409999999998	0.0408410047808774	0.0451499999999836
0.336099999999979	0.0422568995685422	0.0466999999999834
0.338099999999979	0.0436866042910876	0.0482599999999833
0.340099999999979	0.0450921309973269	0.0498399999999831
0.342099999999979	0.0465259667726111	0.0514299999999829
0.344099999999978	0.0479926112271714	0.0530399999999827
0.346099999999978	0.049462695418694	0.0546599999999804
0.348099999999978	0.0509014411050883	0.0562799999999824
0.350099999999978	0.0523963351600738	0.0579199999999822
0.352099999999978	0.0539201964975443	0.059569999999982
