t	fs_A	fs_V
0	0	0	0
0.002	0	0	0
0.0041	1.03844603925722E-06	1.14865824772783E-11	5.27467E-09
0.006	1.06264460323515E-06	4.8678533341597E-11	5.26771E-09
0.00800000000000001	1.10654648338524E-06	1.17223839358027E-10	5.27068E-09
0.0101	1.17343623904127E-06	2.24272222281111E-10	5.29675E-09
0.0121	1.25732373542678E-06	3.62866864033338E-10	5.30974E-09
0.0141	1.36122070439115E-06	5.41001463304718E-10	5.32716999999999E-09
0.0161	1.48539265876063E-06	7.62951183834912E-10	5.35018999999999E-09
0.0180999999999999	1.63006338321652E-06	1.03345492273494E-09	5.37999999999998E-09
0.0200999999999999	1.79542197609242E-06	1.35764269092788E-09	5.41791999999997E-09
0.0220999999999999	1.98163009882876E-06	1.74097110810522E-09	5.46538999999996E-09
0.0240999999999999	2.18882859604286E-06	2.18916883195856E-09	5.52393999999995E-09
0.0260999999999999	2.41714306078055E-06	2.70819192926601E-09	5.59526999999994E-09
0.0280999999999999	2.66668824091731E-06	3.30418820816917E-09	5.68122999999993E-09
0.0300999999999999	2.93757137409835E-06	3.9834691315707E-09	5.78385999999992E-09
0.0320999999999999	3.22989462378765E-06	4.75248788789216E-09	5.90540999999993E-09
0.0341	3.54375680686737E-06	5.61782233148159E-09	6.04839999999996E-09
0.036	3.86196437667777E-06	6.53519393644866E-09	6.13693000000001E-09
0.0380000000000001	4.21810426938858E-06	7.60767603391181E-09	6.32617000000005E-09
0.0400000000000001	4.59606484162235E-06	8.79649026179243E-09	6.54617000000011E-09
0.0420000000000002	4.99594009308438E-06	1.01086020758985E-08	6.80098000000017E-09
0.0440000000000002	5.41782370813637E-06	1.15510585022656E-08	7.09523000000024E-09
0.0460000000000003	5.86180916303223E-06	1.31309839586437E-08	7.43421000000032E-09
0.0480000000000003	6.32798977258314E-06	1.48555768513196E-08	7.8240200000004E-09
0.0500000000000004	6.81645869805131E-06	1.67321067708597E-08	8.27167000000049E-09
0.0520000000000005	7.32730893123015E-06	1.87679121532321E-08	8.78525000000061E-09
0.0540000000000005	7.86063326483872E-06	2.09703983049305E-08	9.37409000000073E-09
0.0560000000000006	8.41652425598368E-06	2.33470357148497E-08	1.00490000000009E-08
0.0580000000000006	8.99507418710345E-06	2.59053585937796E-08	1.0822600000001E-08
0.0600000000000007	9.59637502720234E-06	2.86529635960232E-08	1.17092000000012E-08
0.0620000000000007	1.02205183950887E-05	3.15975086879517E-08	1.27258000000014E-08
0.0640000000000008	1.08675955255933E-05	3.47467121361183E-08	1.38919000000016E-08
0.0660000000000009	1.15376972392547E-05	3.81083515935075E-08	1.52299000000018E-08
0.0680000000000009	1.22309139156371E-05	4.16902632670483E-08	1.67663000000021E-08
0.070000000000001	1.29473354702452E-05	4.53042957961143E-08	1.85313000000024E-08
0.072000000000001	1.53141802620162E-05	6.89025739820876E-08	2.05601000000027E-08
0.0740000000000011	1.78063432942169E-05	9.5808920344871E-08	2.28935000000032E-08
0.0760000000000012	2.04296991927019E-05	1.26246709048416E-07	2.55786000000036E-08
0.0780000000000012	2.31906306773029E-05	1.60467512317056E-07	2.86701000000041E-08
0.0800000000000013	2.60960261346853E-05	1.98751488410197E-07	3.54480000000048E-08
0.0820000000000013	2.91532883152613E-05	2.41408467224649E-07	4.35141000000057E-08
0.0840000000000014	3.23703506387709E-05	2.88779578003504E-07	5.26560000000067E-08
0.0860000000000014	3.57556991214526E-05	3.41239321358205E-07	6.3018600000008E-08
0.0880000000000015	3.93183987982993E-05	3.9919803599439E-07	7.47665000000095E-08
0.0900000000000016	4.30681239968329E-05	4.63104738936336E-07	8.80871000000111E-08
0.0920000000000016	4.70151921043638E-05	5.33450335990712E-07	1.03193000000013E-07
0.0940000000000017	5.11706006475752E-05	6.10771211378868E-07	1.20328000000015E-07
0.0960000000000017	5.55460676169438E-05	6.95653214385622E-07	1.39767000000018E-07
0.0980000000000018	6.01540750419667E-05	7.88736067867634E-07	1.61824000000021E-07
0.100000000000002	6.50079158666801E-05	8.90718229239806E-07	1.86857000000025E-07
0.102000000000002	7.01217441910273E-05	1.00236223941888E-06	2.15274000000029E-07
0.104000000000002	7.55106289333386E-05	1.12450059925645E-06	2.47536000000034E-07
0.106000000000002	8.11906109474141E-05	1.25804221656812E-06	2.84172000000039E-07
0.108000000000002	8.71787636673098E-05	1.40397947178693E-06	3.25780000000046E-07
0.110000000000002	9.3493257704385E-05	1.56339596357657E-06	3.73041000000054E-07
0.112000000000002	0.000100153431220097	1.73747503986544E-06	4.26730000000063E-07
0.114000000000002	0.000107179867588171	1.92750922889589E-06	4.87726000000073E-07
0.116000000000002	0.000114594811138902	2.13493591185346E-06	5.57027000000085E-07
0.118000000000002	0.000122424267739491	2.36150214093543E-06	6.35766000000099E-07
0.120000000000002	0.000130690060045343	2.60893107070861E-06	7.25228000000115E-07
0.122000000000002	0.000139407458790249	2.87886437216649E-06	8.26866000000135E-07
0.124000000000003	0.000148609016082821	3.17366956501214E-06	9.42329000000156E-07
0.126000000000002	0.000158330317197952	3.49598363289937E-06	1.07348000000017E-06
0.128000000000002	0.000168609692457527	3.84873617059354E-06	1.22243000000018E-06
0.130000000000002	0.000179488389934847	4.23518102522746E-06	1.39155000000018E-06
0.132000000000002	0.000191010756998606	4.65893112626749E-06	1.58353000000018E-06
0.134000000000002	0.000203224430970831	5.12399678743745E-06	1.80140000000018E-06
