t	fd_A	fd_V
0	0	0	0
0.002	0	0	0
0.0041	0	0	2.01948391736579E-27
0.006	0	0	2.01827999999995E-13
0.00800000000000001	0	0	4.06885999999968E-13
0.0101	0	0	3.87740912134232E-26
0.0121	0	0	1.80945758995975E-25
0.0141	0	0	4.9113848870336E-25
0.0161	0	0	8.78879400837592E-25
0.0180999999999999	0	0	1.55096364853693E-24
0.0200999999999999	0	0	2.58493941422821E-24
0.0220999999999999	0	0	3.92910790962688E-24
0.0240999999999999	0	0	5.37667398159468E-24
0.0260999999999999	0	0	7.85821581925376E-24
0.0280999999999999	0	0	9.92616735063633E-24
0.0300999999999999	0	0	1.32348898008484E-23
0.0320999999999999	0	0	1.32348898008484E-23
0.0341	0	0	7.44462551297725E-24
0.036	0	0	1.7524799999998E-11
0.0380000000000001	0	0	2.0420599999988E-11
0.0400000000000001	0	0	2.3697099999972E-11
0.0420000000000002	0	0	2.74074999999521E-11
0.0440000000000002	0	0	3.16142999999249E-11
0.0460000000000003	0	0	3.6390599999894E-11
0.0480000000000003	0	0	4.18221999998553E-11
0.0500000000000004	0	0	4.80091999998092E-11
0.0520000000000005	0	0	5.50684999997417E-11
0.0540000000000005	0	0	6.313669999967E-11
0.0560000000000006	0	0	7.237249999958E-11
0.0580000000000006	0	0	8.29611999994796E-11
0.0600000000000007	0	0	9.51178999993429E-11
0.0620000000000007	0	0	1.09091999999174E-10
0.0640000000000008	0	0	1.2517499999899E-10
0.0660000000000009	0	0	1.43700999998774E-10
0.0680000000000009	0	0	1.65060999998489E-10
0.070000000000001	1.18204668326336E-10	1.96776299857476E-10	1.89702999998185E-10
0.072000000000001	0	0	2.18148999997717E-10
0.0740000000000011	0	0	2.50995999997253E-10
0.0760000000000012	0	0	2.88934999996704E-10
0.0780000000000012	0	0	3.3276099999599E-10
0.0800000000000013	0	0	2.51894000000404E-10
0.0820000000000013	0	0	1.31880000000105E-09
0.0840000000000014	0	0	3.46596000000193E-09
0.0860000000000014	0	0	7.00827000000318E-09
0.0880000000000015	0	0	1.23276000000047E-08
0.0900000000000016	0	0	1.98842000000069E-08
0.0920000000000016	0	0	3.02296000000097E-08
0.0940000000000017	0	0	4.40218000000132E-08
0.0960000000000017	0	0	6.20415000000176E-08
0.0980000000000018	0	0	8.52113000000235E-08
0.100000000000002	1.0137402732591E-07	0	1.1461700000003E-07
0.102000000000002	4.30303359802566E-07	0	1.51532000000039E-07
0.104000000000002	1.01113047572455E-06	0	1.9744200000005E-07
0.106000000000002	1.87000214482922E-06	0	2.54080000000063E-07
0.108000000000002	7.28340592734604E-06	3.62684865436673E-08	3.2345200000008E-07
0.110000000000002	1.45983974891688E-05	9.93154838073304E-08	4.07882000000099E-07
0.112000000000002	2.29425064392136E-05	1.8512884850733E-07	5.10049000000122E-07
0.114000000000002	3.23977087961291E-05	2.97235418797104E-07	6.33034000000151E-07
0.116000000000002	4.30532898630199E-05	4.39675920861445E-07	7.80371000000186E-07
0.118000000000002	5.50060051317179E-05	6.17061325584014E-07	9.56103000000226E-07
0.120000000000002	6.83602990594808E-05	8.34635884097965E-07	1.16484000000028E-06
0.122000000000002	8.32285682097615E-05	1.09834711475364E-06	1.41184000000034E-06
0.124000000000003	9.42852277233209E-05	1.28983710513667E-06	1.7030700000004E-06
0.126000000000002	0.000105592248673236	1.49297110018381E-06	2.04529000000046E-06
0.128000000000002	0.000118286630345258	1.73548984127963E-06	2.44615000000048E-06
0.130000000000002	0.0001335643051482	2.05136493154942E-06	2.9142900000005E-06
0.132000000000002	0.000165498310357793	2.83219814741166E-06	3.45942000000053E-06
0.134000000000002	0.000186254201802514	3.34571430761246E-06	4.09250000000053E-06
0.136000000000001	0.000209573957954605	3.9563463757042E-06	4.82578000000052E-06
0.138000000000001	0.000235673689241829	4.67901116479287E-06	5.6730300000005E-06
0.140000000000001	0.000264782644992778	5.53054893105926E-06	6.64963000000047E-06
0.142000000000001	0.00029714382407565	6.52992833362825E-06	7.77275000000042E-06
0.144	0.000338616874605294	7.90277281884664E-06	9.06154000000032E-06
0.146	0.000384707325972767	9.52173091153736E-06	1.05373000000002E-05
0.148	0.000434733116419837	1.13795740161734E-05	1.22237E-05
0.1501	0.000475078844323268	1.29191190373711E-05	1.42499999999998E-05
0.1521	0.000518206530610925	1.46372552899998E-05	1.64534999999995E-05
0.154099999999999	0.000566463534494792	1.66445262320926E-05	1.89570999999991E-05
0.156099999999999	0.000627236361119398	1.93120944264984E-05	2.17962999999987E-05
0.158099999999999	0.000704550912121078	2.2911214599781E-05	2.50108999999981E-05
0.160099999999999	0.000779111820296178	2.65443097114517E-05	2.86441999999974E-05
0.162099999999998	0.000855874820869989	3.04517942936133E-05	3.27440999999967E-05
0.164099999999998	0.000925495840636117	3.41181200734703E-05	3.73632999999957E-05
0.166099999999998	0.00101817714764044	3.92497703431677E-05	4.25594999999946E-05
0.168099999999998	0.00111992220957584	4.5148998462377E-05	4.83961999999932E-05
0.170099999999998	0.00121774898441671	5.10479520636625E-05	5.49425999999916E-05
0.172099999999997	0.00132627872868957	5.78703093814908E-05	6.22746999999898E-05
0.174099999999997	0.00144903103760855	6.59290528966369E-05	7.04752999999877E-05
0.176099999999997	0.00157755687306141	7.47241711261735E-05	7.96349999999851E-05
0.178099999999997	0.00170588299683774	8.38447968756436E-05	8.98521999999821E-05
