t	fs_A	fs_V
0	0	0	0
0.002	0	0	0
0.0041	1.03844379452116E-08	1.14831520132554E-14	5.27465E-12
0.006	1.0626405033748E-08	4.86721962734568E-14	5.26771E-12
0.00800000000000001	1.10654109339922E-08	1.17215338929349E-13	5.27068E-12
0.0101	1.17342981819279E-08	2.24261795645525E-13	5.29672E-12
0.0121	1.25731648760173E-08	3.62854681990644E-13	5.3097E-12
0.0141	1.36121271563977E-08	5.40987492919221E-13	5.32713999999999E-12
0.0161	1.48538398288243E-08	7.6293533549035E-13	5.35015999999999E-12
0.0180999999999999	1.63005405581918E-08	1.03343707414064E-12	5.37996999999998E-12
0.0200999999999999	1.79541202196353E-08	1.35762270037696E-12	5.41789999999997E-12
0.0220999999999999	1.98161953630311E-08	1.74094882280683E-12	5.46536999999996E-12
0.0240999999999999	2.18881743989767E-08	2.18914409400826E-12	5.52392999999996E-12
0.0260999999999999	2.41713132436194E-08	2.70816458054252E-12	5.59525999999994E-12
0.0280999999999999	2.66667593784537E-08	3.30415809487335E-12	5.68121999999993E-12
0.0300999999999999	2.93755851973312E-08	3.98343610883615E-12	5.78384999999992E-12
0.0320999999999999	3.22988123655667E-08	4.75245182474013E-12	5.90539999999993E-12
0.0341	3.54374290951355E-08	5.61778311630227E-12	6.04839999999996E-12
0.036	3.86195002078703E-08	6.53515164662024E-12	6.13693000000001E-12
0.0380000000000001	4.21808946468019E-08	7.6076304540494E-12	6.32617000000006E-12
0.0400000000000001	4.59604963052885E-08	8.79644137611181E-12	6.5461700000001E-12
0.0420000000000002	4.99592452705572E-08	1.01085499169079E-11	6.80098000000017E-12
0.0440000000000002	5.41780784884674E-08	1.15510031602993E-11	7.09523000000025E-12
0.0460000000000003	5.86179308361119E-08	1.313092559241E-11	7.43422000000032E-12
0.0480000000000003	6.32797355887685E-08	1.48555156995193E-11	7.82403000000041E-12
0.0500000000000004	6.81644244991919E-08	1.67320431649331E-11	8.27168000000049E-12
0.0520000000000005	7.32729276388124E-08	1.87678465312916E-11	8.78526000000061E-12
0.0540000000000005	7.86061731021209E-08	2.09703312269411E-11	9.37411000000073E-12
0.0560000000000006	8.4165086641766E-08	2.33469678791194E-11	1.00490000000009E-11
0.0580000000000006	8.99505912785106E-08	2.59052908548263E-11	1.0822600000001E-11
0.0600000000000007	9.59636069141268E-08	2.86528969838894E-11	1.17092000000012E-11
0.0620000000000007	1.02205049964366E-07	3.15974444290398E-11	1.27259000000014E-11
0.0640000000000008	1.08675833021766E-07	3.47466516756246E-11	1.38919000000016E-11
0.0660000000000009	1.15376864553173E-07	3.81082966195389E-11	1.52300000000018E-11
0.0680000000000009	1.22309048633617E-07	4.16902157365083E-11	1.67663000000021E-11
0.070000000000001	1.29473284716207E-07	4.53042574191757E-11	1.85313000000024E-11
0.072000000000001	1.53141923224525E-07	6.89027272734674E-11	2.05602000000028E-11
0.0740000000000011	1.78063875909177E-07	9.58094438479045E-11	2.28936000000031E-11
0.0760000000000012	2.04297920499759E-07	1.26247849610378E-10	2.55788000000036E-11
0.0780000000000012	2.31907920686796E-07	1.60469600817544E-10	2.86703000000041E-11
0.0800000000000013	2.60962802776099E-07	1.98754958881696E-10	3.54483000000048E-11
0.0820000000000013	2.91536643690672E-07	2.41413879971109E-10	4.35144000000057E-11
0.0840000000000014	3.23708835199912E-07	2.8878764748696E-10	5.26564000000067E-11
0.0860000000000014	3.57564304533825E-07	3.41250949774424E-10	6.3019200000008E-11
0.0880000000000015	3.93193780147885E-07	3.99214353637268E-10	7.47673000000094E-11
0.0900000000000016	4.30694096236959E-07	4.63127152663025E-10	8.8088100000011E-11
0.0920000000000016	4.70168532456435E-07	5.33480587351832E-10	1.03195000000013E-10
0.0940000000000017	5.11727187082991E-07	6.10811446278545E-10	1.20330000000015E-10
0.0960000000000017	5.55487382990526E-07	6.95706066493612E-10	1.39769000000018E-10
0.0980000000000018	6.01574106558982E-07	7.88804758431304E-10	1.61827000000021E-10
0.100000000000002	6.50120480077346E-07	8.90806686449473E-10	1.86862000000025E-10
0.102000000000002	7.01268268372334E-07	1.0024752410802E-09	2.15280000000029E-10
0.104000000000002	7.55168420301707E-07	1.1246439432343E-09	2.47545000000034E-10
0.106000000000002	8.11981645545941E-07	1.25822292430885E-09	2.84183000000039E-10
0.108000000000002	8.71879027548598E-07	1.40420603123952E-09	3.25795000000046E-10
0.110000000000002	9.35042677019147E-07	1.56367861911883E-09	3.73061000000054E-10
0.112000000000002	1.00166644454509E-06	1.73782613870811E-09	4.26756000000062E-10
0.114000000000002	1.07195670710735E-06	1.92794363382952E-09	4.87761000000073E-10
0.116000000000002	1.14613659495838E-06	2.13547192167289E-09	5.57073000000085E-10
0.118000000000002	1.22446704274578E-06	2.3621627493368E-09	6.35826000000099E-10
0.120000000000002	1.30723735574458E-06	2.61002483920493E-09	7.25305000000116E-10
0.122000000000002	1.39475853294542E-06	2.88128699890414E-09	8.26967000000134E-10
0.124000000000003	1.48736473090156E-06	3.17842194196281E-09	9.42461000000155E-10
0.126000000000002	1.58541482966415E-06	3.504172730378E-09	1.07365000000017E-09
0.128000000000002	1.68929408688016E-06	3.86158194819232E-09	1.22265000000018E-09
0.130000000000002	1.79941588356433E-06	4.25402386271209E-09	1.39184000000018E-09
0.132000000000002	1.91622356501406E-06	4.6852398504993E-09	1.58391000000018E-09
