t	fg_A
0	0	0
0.002	0	0
0.0041	1.03447539880073E-08	3.03014E-08
0.006	1.05857964032235E-08	3.02756E-08
0.00800000000000001	1.10231246496475E-08	3.02877E-08
0.0101	1.16894557560324E-08	3.03858E-08
0.0121	1.25251167349581E-08	3.04355E-08
0.0141	1.35601086382265E-08	3.05021E-08
0.0161	1.47970761262946E-08	3.05899E-08
0.0180999999999999	1.62382483128566E-08	3.07033999999999E-08
0.0200999999999999	1.78855088470987E-08	3.08475999999999E-08
0.0220999999999999	1.97404681012785E-08	3.10274999999999E-08
0.0240999999999999	2.18045291037758E-08	3.12486999999999E-08
0.0260999999999999	2.40789429712754E-08	3.15170999999998E-08
0.0280999999999999	2.65648528001906E-08	3.18390999999998E-08
0.0300999999999999	2.92633268862375E-08	3.22213999999998E-08
0.0320999999999999	3.21753829904541E-08	3.26712999999998E-08
0.0341	3.53020055483801E-08	3.31965999999999E-08
0.036	3.84719164292728E-08	3.35835E-08
0.0380000000000001	4.20197010585828E-08	3.42789000000001E-08
0.0400000000000001	4.5784859032191E-08	3.50782000000003E-08
0.0420000000000002	4.97683268447976E-08	3.59925000000004E-08
0.0440000000000002	5.39710378617394E-08	3.70338000000006E-08
0.0460000000000003	5.83939233874926E-08	3.82153000000007E-08
0.0480000000000003	6.30379131308403E-08	3.95516000000009E-08
0.0500000000000004	6.79039352838601E-08	4.1058700000001E-08
0.0520000000000005	7.29929163637302E-08	4.27542000000011E-08
0.0540000000000005	7.83057809182443E-08	4.46577000000013E-08
0.0560000000000006	8.38434511623038E-08	4.67908000000014E-08
0.0580000000000006	8.96068465893651E-08	4.91773000000015E-08
0.0600000000000007	9.55968835858118E-08	5.18436000000016E-08
0.0620000000000007	1.01814475065328E-07	5.48188000000016E-08
0.0640000000000008	1.08260530132999E-07	5.81351000000016E-08
0.0660000000000009	1.14935953783978E-07	6.18280000000016E-08
0.0680000000000009	1.21841646638391E-07	6.59369000000015E-08
0.070000000000001	1.28979688500068E-07	7.05050000000014E-08
0.072000000000001	1.52556693913238E-07	7.55800000000012E-08
0.0740000000000011	1.77383407772184E-07	8.12144000000009E-08
0.0760000000000012	2.03517199400604E-07	8.74659000000006E-08
0.0780000000000012	2.31021688435197E-07	9.43979000000001E-08
0.0800000000000013	2.59965537781286E-07	1.08421000000011E-07
0.0820000000000013	2.90422541278431E-07	1.26202000000013E-07
0.0840000000000014	3.22471787302031E-07	1.46586000000015E-07
0.0860000000000014	3.56197878534476E-07	1.69895000000018E-07
0.0880000000000015	3.91691196714405E-07	1.96486000000021E-07
0.0900000000000016	4.29048205986933E-07	2.26749000000025E-07
0.0920000000000016	4.68371791326568E-07	2.6111300000003E-07
0.0940000000000017	5.09771630271962E-07	3.00046000000035E-07
0.0960000000000017	5.5336459735042E-07	3.4406200000004E-07
0.0980000000000018	5.99275201309467E-07	3.93717000000047E-07
0.100000000000002	6.47636055714572E-07	4.49622000000054E-07
0.102000000000002	6.98588383641806E-07	5.12436000000064E-07
0.104000000000002	7.52282557101866E-07	5.82877000000073E-07
0.106000000000002	8.08878671627584E-07	6.61724000000084E-07
0.108000000000002	8.68547156871981E-07	7.49818000000097E-07
0.110000000000002	9.31469427613781E-07	8.4806800000011E-07
0.112000000000002	9.97838593646369E-07	9.57458000000126E-07
0.114000000000002	1.06786024328759E-06	1.07905000000014E-06
0.116000000000002	1.14244928474624E-06	1.21397000000016E-06
0.118000000000002	1.22307148996623E-06	1.36347000000019E-06
0.120000000000002	1.31019800743764E-06	1.52884000000021E-06
0.122000000000002	1.40431739987481E-06	1.71152000000024E-06
0.124000000000003	1.50595100877579E-06	1.91300000000027E-06
0.126000000000002	1.61565475162518E-06	2.13493000000029E-06
0.128000000000002	1.73402099161096E-06	2.37903000000029E-06
0.130000000000002	1.86168048179728E-06	2.64716000000028E-06
0.132000000000002	1.99930438572691E-06	2.94131000000027E-06
0.134000000000002	2.14760637645912E-06	3.26359000000026E-06
0.136000000000001	2.30734481608068E-06	3.61625000000025E-06
0.138000000000001	2.47932501776088E-06	4.00170000000023E-06
0.140000000000001	2.66440159245364E-06	4.4224900000002E-06
0.142000000000001	2.8634808823835E-06	4.88134000000016E-06
0.144	3.07752348348542E-06	5.38113000000012E-06
0.146	3.30754685900239E-06	5.92494000000007E-06
0.148	3.55462804647867E-06	6.51601000000001E-06
0.1501	3.83366938167181E-06	7.19126999999992E-06
0.1521	4.11935264497777E-06	7.89022999999984E-06
0.154099999999999	4.42577629358147E-06	8.64759999999974E-06
0.156099999999999	4.75428833278858E-06	9.46750999999964E-06
0.158099999999999	5.10631152209133E-06	1.03542999999995E-05
0.160099999999999	5.48334669691504E-06	1.13124999999993E-05
0.162099999999998	5.88697620052642E-06	1.23468999999992E-05
0.164099999999998	6.31886742862524E-06	1.3462799999999E-05
0.166099999999998	6.78077648917669E-06	1.46653999999988E-05
0.168099999999998	7.27455198007862E-06	1.59603999999985E-05
0.170099999999998	7.80213888729363E-06	1.73537999999983E-05
0.172099999999997	8.36558260611344E-06	1.8851899999998E-05
0.174099999999997	8.9670330882583E-06	2.04612999999976E-05
0.176099999999997	9.60874911755264E-06	2.21889999999972E-05
0.178099999999997	1.02931027169528E-05	2.40422999999968E-05
0.180099999999996	1.10225836897411E-05	2.60287999999964E-05
0.182099999999996	1.17998042977355E-05	2.81565999999959E-05
0.184099999999996	1.26275040794022E-05	3.04342999999954E-05
0.186099999999996	1.35085548107918E-05	3.28705999999948E-05
0.188099999999996	1.444596561226E-05	3.54748999999941E-05
0.190099999999995	1.54428882039638E-05	3.82569999999934E-05
0.192099999999995	1.65026223131644E-05	4.12270999999926E-05
0.194099999999995	1.76286212363991E-05	4.43959999999917E-05
0.196099999999995	1.88244975596205E-05	4.77746999999908E-05
0.198099999999995	2.00940290394326E-05	5.13751999999898E-05
0.200099999999994	2.14411646485881E-05	5.52094999999887E-05
0.202099999999994	2.28700307889409E-05	5.92906999999875E-05
0.204099999999994	2.43849376750789E-05	6.36319999999862E-05
0.206099999999994	2.59903858918913E-05	6.82474999999848E-05
0.208099999999993	2.76910731293515E-05	7.31518999999834E-05
0.210099999999993	2.94919010978244E-05	7.83603999999817E-05
0.212099999999993	3.13979826272289E-05	8.388889999998E-05
0.214099999999993	3.3414648953411E-05	8.97539999999781E-05
0.216099999999993	3.55474571951012E-05	9.59731999999762E-05
0.218099999999992	3.78021980248468E-05	0.000102563999999974
0.220099999999992	4.01849035373277E-05	0.000109546999999972
0.222099999999992	4.27018553184713E-05	0.000116938999999969
0.224099999999992	4.53595927187929E-05	0.000124762999999966
0.226099999999991	4.81649213343923E-05	0.000133038999999964
0.228099999999991	5.11249216990361E-05	0.000141788999999961
0.230099999999991	5.42469581907503E-05	0.000151036999999957
0.232099999999991	5.75386881563409E-05	0.000160805999999954
0.234099999999991	6.10080712572411E-05	0.00017112099999995
0.23609999999999	6.46633790400644E-05	0.000182008999999946
0.23809999999999	6.85132047352152E-05	0.000193494999999942
0.24009999999999	7.25664732868709E-05	0.000205608999999937
0.24209999999999	7.68324516176086E-05	0.000218378999999932
0.244099999999989	8.13207591308916E-05	0.000231834999999927
0.246099999999989	8.60413784545792E-05	0.000246007999999922
0.248099999999989	9.10046664285386E-05	0.000260930999999916
0.250099999999989	9.62213653393604E-05	0.00027663799999991
0.252099999999989	0.000101702614405086	0.000293162999999903
0.254099999999988	0.00010745996151274	0.000310543999999896
0.256099999999988	0.000113505375211331	0.000328815999999889
0.258099999999988	0.000119851256962866	0.000348019999999881
0.260099999999988	0.000126510453653737	0.000368194999999873
0.262099999999987	0.000133496270368685	0.000389383999999864
0.264099999999987	0.000140822483429338	0.000411628999999855
0.266099999999987	0.000148503353699112	0.000434975999999845
0.268099999999987	0.00015655364015601	0.000459469999999834
0.270099999999987	0.000164988613734603	0.000485159999999824
0.272099999999986	0.000173824071438166	0.000512095999999811
0.274099999999986	0.000183076350721628	0.000540327999999799
0.276099999999986	0.000192762344145649	0.000569908999999787
0.278099999999986	0.000202899514301715	0.000600895999999772
0.280099999999985	0.000213505909007767	0.000633343999999759
0.282099999999985	0.000224600176773359	0.000667310999999744
0.284099999999985	0.000236201582532872	0.000702859999999727
0.286099999999985	0.000248330023644731	0.000740050999999711
0.288099999999985	0.000261006046154001	0.000778950999999693
0.290099999999984	0.000274250861315037	0.000819623999999675
0.292099999999984	0.0002880863623702	0.000862141999999655
0.294099999999984	0.000302535141579842	0.000906572999999637
0.296099999999984	0.000317620507497961	0.000952992999999614
0.298099999999983	0.000333366502486985	0.000999999999999836
0.300099999999983	0.000349797920464209	0.00105
0.302099999999983	0.000366940324871335	0.0011
0.304099999999983	0.000384820066857409	0.00116
0.306099999999983	0.000403464303664277	0.00121999999999826
0.308099999999982	0.000422901017202305	0.00127999999999824
0.310099999999982	0.000443159032802731	0.00134
0.312099999999982	0.000464268038131487	0.00140999999999819
0.314099999999982	0.000486258602247673	0.00147
0.316099999999982	0.000513584513941234	0.00154
0.318099999999981	0.000542516423880169	0.00161999999999813
0.320099999999981	0.000572852458184148	0.00169999999999811
0.322099999999981	0.000604645636062533	0.00177999999999808
0.324099999999981	0.000637950537669022	0.00185999999999806
0.32609999999998	0.000672823335930367	0.00194999999999804
0.32809999999998	0.000709321828379608	0.00203999999999802
0.33009999999998	0.000747505468941708	0.002129999999998
0.33209999999998	0.000787435399614917	0.00222999999999797
0.33409999999998	0.000829174481986405	0.00232999999999795
0.336099999999979	0.000872787328515604	0.00243
0.338099999999979	0.000918340333513236	0.00254
0.340099999999979	0.000965901703738333	0.00265999999999789
0.342099999999979	0.00101554148852943	0.00277999999999786
0.344099999999978	0.00106733160937974	0.00289999999999784
0.346099999999978	0.00112134588885934	0.00302999999999782
