t	fg_V
0	0	0
0.002	0	0
0.0041	1.05215627718152E-12	5.27465E-12
0.006	1.08914400523248E-12	5.26791E-12
0.00800000000000001	1.15732964488033E-12	5.27109E-12
0.0101	1.26383808164395E-12	5.29672E-12
0.0121	1.40175680567122E-12	5.3097E-12
0.0141	1.57904589660513E-12	5.32713999999999E-12
0.0161	1.79996417843882E-12	5.35015999999999E-12
0.0180999999999999	2.06923000562963E-12	5.37996999999998E-12
0.0200999999999999	2.39194919316972E-12	5.41789999999998E-12
0.0220999999999999	2.7735510899714E-12	5.46536999999997E-12
0.0240999999999999	3.21973455046592E-12	5.52392999999996E-12
0.0260999999999999	3.73642377813483E-12	5.59525999999995E-12
0.0280999999999999	4.3297330492165E-12	5.68121999999994E-12
0.0300999999999999	5.00593893936035E-12	5.78384999999993E-12
0.0320999999999999	5.77145863918949E-12	5.90539999999994E-12
0.0341	6.63283308302754E-12	6.04839999999997E-12
0.036	7.54598141086114E-12	6.15446E-12
0.0380000000000001	8.6134956268789E-12	6.34659000000004E-12
0.0400000000000001	9.79676796684416E-12	6.56986000000008E-12
0.0420000000000002	1.11027244300281E-11	6.82839000000012E-12
0.0440000000000002	1.25383721063257E-11	7.12684000000017E-12
0.0460000000000003	1.41107950348099E-11	7.47061000000021E-12
0.0480000000000003	1.58271508292886E-11	7.86585000000026E-12
0.0500000000000004	1.76946678965963E-11	8.3196900000003E-12
0.0520000000000005	1.97206431156684E-11	8.84033000000036E-12
0.0540000000000005	2.19124398771995E-11	9.43724000000041E-12
0.0560000000000006	2.42774864075082E-11	1.01214000000005E-11
0.0580000000000006	2.68232743181209E-11	1.09055000000005E-11
0.0600000000000007	2.95573573360653E-11	1.18044000000005E-11
0.0620000000000007	3.24873501800435E-11	1.28349000000006E-11
0.0640000000000008	3.5620927555378E-11	1.40171000000006E-11
0.0660000000000009	3.89658232465097E-11	1.53737000000006E-11
0.0680000000000009	4.25298292903309E-11	1.69314000000006E-11
0.070000000000001	4.63214329294775E-11	1.87210000000006E-11
0.072000000000001	5.95863663864301E-11	2.07783000000005E-11
0.0740000000000011	7.47084095698256E-11	2.31446000000004E-11
0.0760000000000012	9.18124711204082E-11	2.58677000000002E-11
0.0780000000000012	1.11039917488086E-10	2.9003E-11
0.0800000000000013	1.32548149698012E-10	3.57002000000052E-11
0.0820000000000013	1.5651122186851E-10	4.48334000000067E-11
0.0840000000000014	1.83120762078774E-10	5.61227000000086E-11
0.0860000000000014	2.12587141728047E-10	7.00281000000112E-11
0.0880000000000015	2.45140866175053E-10	8.70959000000141E-11
0.0900000000000016	2.81034175190471E-10	1.07974000000018E-10
0.0920000000000016	3.20542851729913E-10	1.33427000000023E-10
0.0940000000000017	3.63968244333188E-10	1.64355000000028E-10
0.0960000000000017	4.11639513451731E-10	2.01815000000036E-10
0.0980000000000018	4.63916115944595E-10	2.47045000000044E-10
0.100000000000002	5.21190545253355E-10	3.01489000000055E-10
0.102000000000002	5.83891347536631E-10	3.66825000000068E-10
0.104000000000002	6.5248643637416E-10	4.45006000000084E-10
0.106000000000002	7.27486730725397E-10	5.38289000000102E-10
0.108000000000002	8.0945014368295E-10	6.49282000000125E-10
0.110000000000002	8.98985957186847E-10	7.80991000000152E-10
0.112000000000002	9.96759642980188E-10	9.36871000000186E-10
0.114000000000002	1.10349819437849E-09	1.12088000000022E-09
0.116000000000002	1.22111170767765E-09	1.33756000000027E-09
0.118000000000002	1.35262610303035E-09	1.59209000000033E-09
0.120000000000002	1.49970348928789E-09	1.89036000000039E-09
0.122000000000002	1.66417086847926E-09	2.23909000000047E-09
0.124000000000003	1.84806084457821E-09	2.64590000000056E-09
0.126000000000002	2.05363304195356E-09	3.11943000000063E-09
0.128000000000002	2.28339752479695E-09	3.66944000000066E-09
0.130000000000002	2.54014037943767E-09	4.30696000000068E-09
0.132000000000002	2.82695163235271E-09	5.04442000000071E-09
0.134000000000002	3.14725568816386E-09	5.89580000000071E-09
0.136000000000001	3.50484448400449E-09	6.8768200000007E-09
0.138000000000001	3.90391356936519E-09	8.00509000000067E-09
0.140000000000001	4.34910133391028E-09	9.30037000000061E-09
0.142000000000001	4.84553161982669E-09	1.07847000000005E-08
0.144	5.39885997004719E-09	1.24828000000004E-08
0.146	6.01532377921088E-09	1.44220000000002E-08
0.148	6.70179663051191E-09	1.66331E-08
0.1501	7.50623201968474E-09	1.92844999999997E-08
0.1521	8.36071574628318E-09	2.21632999999993E-08
0.154099999999999	9.31073974321749E-09	2.54297999999989E-08
0.156099999999999	1.03664074615612E-08	2.91308999999983E-08
0.158099999999999	1.15388083353728E-08	3.33179999999976E-08
0.160099999999999	1.28401045211029E-08	3.80483999999967E-08
0.162099999999998	1.42836243535886E-08	4.33848999999957E-08
0.164099999999998	1.58839629646459E-08	4.93971999999944E-08
0.166099999999998	1.7657090534949E-08	5.61615999999929E-08
0.168099999999998	1.96204686756614E-08	6.37625999999912E-08
0.170099999999998	2.17931754632006E-08	7.22923999999891E-08
0.172099999999997	2.41960396786163E-08	8.18527999999867E-08
0.174099999999997	2.68517848323727E-08	9.25552999999837E-08
0.176099999999997	2.97851835859029E-08	1.04521999999981E-07
0.178099999999997	3.30232232131739E-08	1.17885999999977E-07
0.180099999999996	3.65952827787217E-08	1.32794999999972E-07
0.182099999999996	4.05333227432179E-08	1.49406999999967E-07
0.184099999999996	4.48720877436687E-08	1.67897999999961E-07
0.186099999999996	4.96493233328551E-08	1.88456999999955E-07
0.188099999999996	5.4906007501666E-08	2.11291999999947E-07
0.190099999999995	6.06865978485699E-08	2.36627999999939E-07
0.192099999999995	6.70392953027035E-08	2.64712999999929E-07
0.194099999999995	7.40163253509379E-08	2.95811999999917E-07
0.196099999999995	8.16742377648832E-08	3.30214999999905E-07
0.198099999999995	9.00742258711591E-08	3.68238999999891E-07
0.200099999999994	9.92824664574431E-08	4.10223999999874E-07
0.202099999999994	1.09370481457849E-07	4.56540999999856E-07
0.204099999999994	1.20415522614145E-07	5.07589999999836E-07
0.206099999999994	1.32500980364263E-07	5.63806999999813E-07
0.208099999999993	1.45716818266481E-07	6.25659999999787E-07
0.210099999999993	1.60160034326685E-07	6.93656999999757E-07
0.212099999999993	1.75935150657264E-07	7.68344999999724E-07
0.214099999999993	1.93154732959478E-07	8.50316999999689E-07
0.216099999999993	2.11939941386711E-07	9.40210999999649E-07
0.218099999999992	2.32421114413789E-07	1.03870999999961E-06
0.220099999999992	2.54738387407695E-07	1.14656999999956E-06
0.222099999999992	2.79042347667518E-07	1.2645699999995E-06
0.224099999999992	3.05494727776365E-07	1.39356999999944E-06
0.226099999999991	3.34269139185364E-07	1.53450999999937E-06
0.228099999999991	3.65551848029745E-07	1.68835999999929E-06
0.230099999999991	3.99542595259414E-07	1.85619999999921E-06
0.232099999999991	4.36455463251443E-07	2.03916999999912E-06
0.234099999999991	4.76519791159485E-07	2.23849999999902E-06
0.23609999999999	5.19981141345376E-07	2.45548999999891E-06
0.23809999999999	5.67102319331139E-07	2.69156999999878E-06
0.24009999999999	6.18164449805113E-07	2.94823999999865E-06
0.24209999999999	6.73468111314315E-07	3.2271199999985E-06
0.244099999999989	7.33334532376029E-07	3.52993999999834E-06
0.246099999999989	7.98106851845409E-07	3.85853999999816E-06
0.248099999999989	8.68151446482129E-07	4.21490999999797E-06
0.250099999999989	9.4385932876822E-07	4.60115999999775E-06
0.252099999999989	1.02564761814089E-06	5.01954999999751E-06
0.254099999999988	1.11396108891831E-06	5.47247999999726E-06
0.256099999999988	1.20927379831313E-06	5.96251999999697E-06
0.258099999999988	1.31209079804781E-06	6.49240999999667E-06
0.260099999999988	1.42294993320708E-06	7.06507999999635E-06
0.262099999999987	1.54242373208722E-06	7.68363999999597E-06
0.264099999999987	1.67112139092715E-06	8.35139999999557E-06
0.266099999999987	1.80969085753463E-06	9.07188999999515E-06
0.268099999999987	1.95882101795033E-06	9.84885999999468E-06
0.270099999999987	2.11924399042383E-06	1.06862999999942E-05
0.272099999999986	2.29173753110798E-06	1.15884999999936E-05
0.274099999999986	2.4771275560119E-06	1.2559899999993E-05
0.276099999999986	2.67629078388683E-06	1.36052999999924E-05
0.278099999999986	2.89015750485421E-06	1.47298999999917E-05
0.280099999999985	3.11971447971957E-06	1.59388999999909E-05
0.282099999999985	3.3660079750503E-06	1.72381999999901E-05
0.284099999999985	3.63014693922854E-06	1.86338999999892E-05
0.286099999999985	3.91330632482205E-06	2.01322999999882E-05
0.288099999999985	4.2167305627457E-06	2.17402999999872E-05
0.290099999999984	4.54173719381258E-06	2.3465099999986E-05
0.292099999999984	4.88972066339727E-06	2.53143999999849E-05
0.294099999999984	5.26215628505218E-06	2.72962999999836E-05
0.296099999999984	5.66060437903131E-06	2.94193999999821E-05
0.298099999999983	6.08671459178239E-06	3.16927999999807E-05
0.300099999999983	6.54223040256842E-06	3.4125999999979E-05
0.302099999999983	7.02899382346914E-06	3.67292999999773E-05
0.304099999999983	7.54895029909448E-06	3.95132999999754E-05
0.306099999999983	8.10415381241007E-06	4.24892999999733E-05
0.308099999999982	8.69677220313094E-06	4.56692999999711E-05
0.310099999999982	9.32909270518014E-06	4.90659999999688E-05
0.312099999999982	1.00035277097326E-05	5.26925999999663E-05
0.314099999999982	1.0722620760369E-05	5.65632999999636E-05
0.316099999999982	1.16390592771637E-05	6.06926999999607E-05
0.318099999999981	1.26362827609927E-05	6.50965999999575E-05
0.320099999999981	1.37108434330795E-05	6.97913999999541E-05
0.322099999999981	1.48679600043622E-05	7.47943999999506E-05
0.324099999999981	1.61131522877236E-05	8.01238999999468E-05
0.32609999999998	1.74522557615537E-05	8.57990999999428E-05
0.32809999999998	1.88914366941546E-05	9.18402999999385E-05
