t	fs_A	fs_V
0	0	0	0
0.002	0	0	0
0.0041	1.63276213063961E-05	2.83662599514218E-08	5.27485E-06
0.006	1.85194017098641E-05	4.47527341147636E-08	5.2677E-06
0.00800000000000001	2.0595509057795E-05	5.85039353794246E-08	5.27067E-06
0.0101	2.46162175064091E-05	8.71077511156556E-08	5.2972E-06
0.0121	3.02817948979505E-05	1.31496627013974E-07	5.31025E-06
0.0141	3.76191379707405E-05	1.95417098933683E-07	5.32774999999999E-06
0.0161	4.87369865248066E-05	3.04569905254221E-07	5.35080999999999E-06
0.0180999999999999	6.22541675580412E-05	4.55059798404672E-07	5.38063999999998E-06
0.0200999999999999	8.69883007430536E-05	7.73804665740758E-07	5.41856999999997E-06
0.0220999999999999	0.000116596272978639	1.21985523392726E-06	5.46601999999996E-06
0.0240999999999999	0.000149046428629894	1.77876078144483E-06	5.52452999999995E-06
0.0260999999999999	0.000184428480783993	2.4619329120198E-06	5.59578999999994E-06
0.0280999999999999	0.000232425569632811	3.49774507833969E-06	5.68163999999993E-06
0.0300999999999999	0.000284759201111806	4.75635650480471E-06	5.78411999999992E-06
0.0320999999999999	0.000333622301591392	6.04223353100743E-06	5.90546999999993E-06
0.0341	0.000381311082997017	7.39218697942543E-06	6.04818999999997E-06
0.036	0.000429680064799946	8.85066792241059E-06	6.13550000000001E-06
0.0380000000000001	0.000473844169643795	1.02568471367841E-05	6.32432000000006E-06
0.0400000000000001	0.00052229202666141	1.18765614274833E-05	6.54379000000011E-06
0.0420000000000002	0.000581641074404299	1.39649833975725E-05	6.79795000000017E-06
0.0440000000000002	0.000650243707350881	1.65149836401027E-05	7.09137000000025E-06
0.0460000000000003	0.00071526572640479	1.90601823268311E-05	7.42931000000032E-06
0.0480000000000003	0.000793315862587299	2.22710557146316E-05	7.81781000000041E-06
0.0500000000000004	0.000872094455571666	2.56714609889904E-05	8.2638100000005E-06
0.0520000000000005	0.000951538300097447	2.92656472680531E-05	8.77532000000061E-06
0.0540000000000005	0.00103654024131289	3.32810289928033E-05	9.36156000000074E-06
0.0560000000000006	0.00111911572557797	3.73433766939995E-05	1.00332000000009E-05
0.0580000000000006	0.00121108832064598	4.20474625760683E-05	1.0802600000001E-05
0.0600000000000007	0.00131005599523958	4.73077824013745E-05	1.16841000000012E-05
0.0620000000000007	0.00141275575459246	5.29861675529774E-05	1.26941000000014E-05
0.0640000000000008	0.00150839074704574	5.8429698749321E-05	1.38519000000016E-05
0.0660000000000009	0.00160791270977765	6.39802731403601E-05	1.51794000000019E-05
0.0680000000000009	0.00175934002341469	7.30832434683881E-05	1.67025000000021E-05
0.070000000000001	0.0019266512437962	8.41637038898508E-05	1.84506000000024E-05
0.072000000000001	0.00211612243527203	9.84248468712436E-05	2.04580000000027E-05
0.0740000000000011	0.00230527688202052	0.000112704778939005	2.27642000000031E-05
0.0760000000000012	0.00249367718365813	0.000126960453495952	2.54147000000035E-05
0.0780000000000012	0.00268270832733546	0.000141201187420576	2.8462000000004E-05
0.0800000000000013	0.00287989607951726	0.000156580573554642	3.44579000000047E-05
0.0820000000000013	0.00309448548507913	0.000174686986762036	4.23885000000056E-05
0.0840000000000014	0.00331760104390637	0.000194216658995699	5.13595000000066E-05
0.0860000000000014	0.00355871904223555	0.000216980492214072	6.15045000000078E-05
0.0880000000000015	0.00381942275641114	0.000243467754102656	7.29740000000092E-05
0.0900000000000016	0.00408546479502147	0.00027098046348852	8.59366000000107E-05
0.0920000000000016	0.00435205038290319	0.000298439074414354	0.000100582000000013
0.0940000000000017	0.00462040907517235	0.000326085558396675	0.000117120000000015
0.0960000000000017	0.00491121733231724	0.000358293720610602	0.000135789000000017
0.0980000000000018	0.00522832797895493	0.000396444504711582	0.00015685200000002
0.100000000000002	0.0055520240336024	0.000436045302302482	0.000180599000000023
0.102000000000002	0.00589823819065468	0.000480887473972889	0.000207354000000027
0.104000000000002	0.00624933897412411	0.000526963220590847	0.000237473000000031
0.106000000000002	0.00661603528949629	0.000576855630906209	0.000271346000000036
0.108000000000002	0.00701420014138418	0.000635340136692189	0.000309399000000042
0.110000000000002	0.00742108665443304	0.000696144387012135	0.000352095000000048
0.112000000000002	0.00784686313300322	0.000762302604930113	0.000399931000000056
0.114000000000002	0.00828684607046506	0.000832410780149221	0.000453440000000063
0.116000000000002	0.00876389197727486	0.000914830083195509	0.000513186000000073
0.118000000000002	0.00925328918258287	0.00100100196762561	0.000579762000000083
0.120000000000002	0.00975016833271105	0.00108937451126017	0.000653783000000094
0.122000000000002	0.0102803726935695	0.00119005632947196	0.000735879000000107
0.124000000000003	0.0108387356089281	0.00130139936722852	0.000826686000000121
0.126000000000002	0.0114096577813451	0.00141756866412981	0.000926833000000129
0.128000000000002	0.0119928158615677	0.00153870505612668	0.00104
0.130000000000002	0.0126133597459689	0.00167646540348293	0.00116
0.132000000000002	0.0132492287228621	0.00182128574098155	0.00129000000000018
0.134000000000002	0.0138953791745025	0.00197111366359079	0.00143000000000016
0.136000000000001	0.014574976286603	0.00213821108051506	0.00159000000000013
0.138000000000001	0.0152628209164548	0.00231047311081795	0.00175000000000011
0.140000000000001	0.0159668309472276	0.00249224834357705	0.00193000000000009
0.142000000000001	0.0166966284236642	0.00269027632983202	0.00213000000000007
0.144	0.0174362607694518	0.00289607224137356	0.00233000000000005
0.146	0.0181759820407114	0.00310412127178763	0.00255000000000003
