t	dT
0	0	0
0.000222653588022716	0.00202247191011563	0.00201999629949444
0.000456439855446567	0.00414599912024447	0.00414999857173469
0.000667960764068147	0.00606712616082772	0.00606999788078817
0.000890614352090863	0.00808918891563704	0.00809000316258747
0.00112440061951471	0.0102121418823919	0.0102320030975736
0.00134705420753743	0.0122337762173895	0.0122075962829117
0.00156970779556014	0.0142551637521807	0.0142570779556014
0.00179236138358286	0.0162762746046477	0.0163036138358286
0.00201501497160557	0.0182970759199026	0.0182750748580278
0.00223766855962828	0.0203175324239801	0.0202966855962828
0.002460322147651	0.0223376068850336	0.02235322147651
0.00268297573567371	0.024357260481665	0.0243997573567371
0.00290562932369643	0.0263764530889812	0.0263681466184821
0.00312828291171914	0.0283951434969955	0.0283928291171914
0.00335093649974185	0.0304132895760917	0.0304403014971604
0.00357359008776457	0.0324308484020824	0.0324894909654103
0.00379624367578729	0.0344477763511666	0.0344424367578729
0.00400776458440888	0.0363632332555221	0.0363754104284977
0.0042304181724316	0.0383788031980162	0.038424181724316
0.00445307176045432	0.0403936101226203	0.0404707176045432
0.00467572534847705	0.0424076082138659	0.0424386267423852
0.00489837893649977	0.0444207511924856	0.0444637893649977
0.00512103252452249	0.04643299233953	0.0465103252452249
0.00534368611254521	0.0484442845168161	0.0485568611254521
0.00556633970056793	0.0504545801846367	0.0504933970056793
0.00578899328859065	0.0524638314174113	0.0525399328859065
0.00601164687661338	0.0544702085622023	0.0545864687661338
0.0062343004646361	0.0564741761209441	0.0566115023231805
0.00645695405265882	0.0584764679938672	0.0585695405265882
0.00667960764068154	0.06047700958766	0.060615684047497
0.00690226122870426	0.0624757260402092	0.0626526122870427
0.00712491481672699	0.0644725422081888	0.0646645740836349
0.00734756840474971	0.0664673826583383	0.0666256840474971
0.00757022199277243	0.0684461004149388	0.0686622199277243
0.00779287558079515	0.0704136098342378	0.0706987558079515
0.00801552916881788	0.0723425102911467	0.0726476458440894
0.0082381827568406	0.0742143495550802	0.074651827568406
0.00846083634486332	0.0760895753739681	0.0766783634486332
0.00868348993288604	0.0779668592712308	0.0787014093959744
0.00890614352090876	0.0798452730955356	0.0805952916881789
0.00912879710893148	0.0817242405441059	0.0825691739803834
0.00935145069695421	0.0836034156448942	0.0845430562725878
0.00957410428497693	0.0853459761450456	0.0864784692823962
0.00979675787299965	0.0870525062074996	0.0883408208569968
0.0100194114610224	0.0887626275488416	0.0902741146102237
0.0102420650490451	0.0904753447238864	0.0921885854414058
0.0104647186370678	0.0921926836888667	0.0940612338668052
0.0106873722250905	0.0939112492588858	0.0958663500258148
0.0109100258131133	0.0956282486135013	0.0977202581311326
0.011132679401136	0.0973435016570967	0.0995541146102238
0.0113553329891587	0.0990613023065502	0.101288998451214
0.0115779865771814	0.100770978532938	0.103041879194633
0.0118006401652041	0.102476924754448	0.104775761486837
0.0120232937532269	0.104069527219071	0.106476350025815
0.0122459473412496	0.105525065805073	0.108071763035623
0.0124686009292723	0.106985548274222	0.109660206504906
0.012691254517295	0.108274712781119	0.11122003613836
0.0129139081053178	0.109410983699483	0.112703678368612
0.0131365616933405	0.110561077059419	0.114085931853383
0.0133592152813632	0.111697324143642	0.115454506969542
0.0135818688693859	0.112827127367596	0.116743082085701
0.0138045224574086	0.113958513544386	0.117943567372226
0.0140271760454314	0.114999392881054	0.119025880227157
0.014249829633454	0.115754459851541	0.12006914816727
0.0144724832214767	0.116503481467438	0.121002416107384
0.0146951368094994	0.117283292326187	0.121810273618999
0.0149177903975221	0.118033087940833	0.122533371192566
0.0151404439855448	0.118780211084973	0.123151331956634
0.0153630975735675	0.119090900127685	0.123666195147135
0.0155857511615902	0.119432966551997	0.12404575116159
0.0158084047496129	0.119358234661412	0.124318404749613
0.0160310583376356	0.119283390391231	0.12449
0.0162537119256583	0.119204306502471	0.12454
0.016476365513681	0.119179947331662	0.124483634486319
0.0167101517811048	0.119156906026424	0.124309848218895
0.0169328053691275	0.119176545706899	0.124044389261745
0.0171554589571502	0.119216113147707	0.12369454104285
0.0173781125451728	0.11886126421791	0.123243774909654
0.0176007661331955	0.11847945068953	0.122707701600413
0.0178234197212182	0.118147233424534	0.122099740836345
0.0180460733092409	0.117684594206762	0.121455890036139
0.0182687268972636	0.116947577012338	0.120725092410946
0.0184913804852863	0.116281187166134	0.119944478058855
0.018714034073309	0.115416337767423	0.119119914816728
0.0189366876613317	0.114431904268348	0.118283249354673
0.0191593412493544	0.113504453922909	0.117392635002582
0.0193819948373771	0.112697298279689	0.116470025813115
0.0196046484253998	0.111942049008504	0.115538378936501
0.0198273020134225	0.111255218039675	0.114623489932888
0.0200499556014451	0.110629967858412	0.113660221992774
0.0202726091894678	0.110065365746026	0.112696954052661
0.0204952627774905	0.10955096819823	0.111771843056274
0.0207179163655132	0.109081712067247	0.110820418172434
0.0209405699535359	0.108321405460792	0.10986715023232
0.0211632235415586	0.10756515556949	0.108913882292207
0.0213858771295813	0.106868905781634	0.108018245740837
0.021608530717604	0.105967756233491	0.10709734641198
0.0218311843056267	0.10502268442642	0.106194078471867
0.0220538378936494	0.104164320696263	0.105294648425403
0.0222764914816721	0.103365076927319	0.104454034073312
0.0224991450696947	0.102642115813266	0.103593419721221
0.0227217986577174	0.101983658995801	0.10274280536913
0.0229444522457401	0.101379348353509	0.10192886938565
0.0231671058337628	0.100509406944322	0.101141576664949
0.0233897594217855	0.0996926680630045	0.100350962312858
0.0236124130098082	0.098943458162939	0.0995803479607672
0.0238350665978309	0.0982515589185322	0.0988498668043382
0.0240577201858536	0.0976192505019007	0.0981168394424393
0.0242803737738763	0.0970336417420548	0.0973985049044949
0.024503027361899	0.096494371654071	0.0966909179143031
0.0247256809499217	0.0960009805014681	0.0960286381001567
0.0249483345379443	0.0955426437438986	0.095364996386167
0.025170988125967	0.0951235942466564	0.0947070356220989
0.0253936417139897	0.0947266695710251	0.0940754331440411
0.0256162953020124	0.0943705934784187	0.0934811140939628
0.0258389488900351	0.0939065046342053	0.0928731533298947
0.0260616024780578	0.0933536362939	0.0922851925658266
0.0262842560660805	0.092843042863371	0.0917136159008793
0.0265069096541032	0.092361029075933	0.0911792710376904
0.0267295632421259	0.091921778190009	0.0906308735157483
0.0269522168301486	0.0914685449670006	0.0900955663397029
0.0271748704181713	0.0908544703214768	0.0895826943727431
