t	fg_A
0	0	0
0.002	0	0
0.0041	6.74729748617923E-07	3.03014E-06
0.006	6.94261381114419E-07	3.02756E-06
0.00800000000000001	7.29734373867907E-07	3.02877E-06
0.0101	7.83831834932673E-07	3.0386E-06
0.0121	8.51722325370898E-07	3.04356E-06
0.0141	9.35841899771265E-07	3.05022E-06
0.0161	1.03639780149637E-06	3.05899999999999E-06
0.0180999999999999	1.15355795884153E-06	3.07034999999999E-06
0.0200999999999999	1.28745968655909E-06	3.08475999999999E-06
0.0220999999999999	1.43821781569588E-06	3.10274999999999E-06
0.0240999999999999	1.60593146860886E-06	3.12487999999998E-06
0.0260999999999999	1.79068927643355E-06	3.15171999999998E-06
0.0280999999999999	1.99257317113185E-06	3.18391999999998E-06
0.0300999999999999	2.21166101939211E-06	3.22214999999998E-06
0.0320999999999999	2.44802838224249E-06	3.26712999999998E-06
0.0341	2.70174964672978E-06	3.31965999999999E-06
0.036	2.95892621887751E-06	3.35835E-06
0.0380000000000001	3.24670010567676E-06	3.42789000000002E-06
0.0400000000000001	3.55204591373391E-06	3.50782000000003E-06
0.0420000000000002	3.87503783748342E-06	3.59925000000004E-06
0.0440000000000002	4.21575031695247E-06	3.70338000000006E-06
0.0460000000000003	4.57425801003801E-06	3.82153000000007E-06
0.0480000000000003	4.95063573976297E-06	3.95516000000009E-06
0.0500000000000004	5.34495842967981E-06	4.1058600000001E-06
0.0520000000000005	5.75730103562905E-06	4.27542000000012E-06
0.0540000000000005	6.18773847879377E-06	4.46577000000013E-06
0.0560000000000006	6.63634558286649E-06	4.67908000000014E-06
0.0580000000000006	7.10319701678255E-06	4.91773000000015E-06
0.0600000000000007	7.58836724361604E-06	5.18435000000016E-06
0.0620000000000007	8.09193047570874E-06	5.48187000000016E-06
0.0640000000000008	8.61396063579385E-06	5.81349000000016E-06
0.0660000000000009	9.1545313237061E-06	6.18279000000016E-06
0.0680000000000009	9.71371578818898E-06	6.59367000000015E-06
0.070000000000001	1.02915869032847E-05	7.05048000000014E-06
0.072000000000001	1.08882171487997E-05	7.55798000000012E-06
0.0740000000000011	1.17770776951556E-05	8.12141000000009E-06
0.0760000000000012	1.35462180273276E-05	8.74655000000006E-06
0.0780000000000012	1.54030045137852E-05	9.43974000000001E-06
0.0800000000000013	1.7351460299096E-05	1.08421000000011E-05
0.0820000000000013	1.93959050699125E-05	1.26201000000013E-05
0.0840000000000014	2.15409612020495E-05	1.46585000000015E-05
0.0860000000000014	2.37915636094937E-05	1.69893000000018E-05
0.0880000000000015	2.61529724126402E-05	1.96483000000021E-05
0.0900000000000016	2.86307879126665E-05	2.26746000000025E-05
0.0920000000000016	3.12309675731031E-05	2.6110800000003E-05
0.0940000000000017	3.39598448397792E-05	3.00040000000034E-05
0.0960000000000017	3.68241497129811E-05	3.4405300000004E-05
0.0980000000000018	3.98310310404022E-05	3.93706000000047E-05
0.100000000000002	4.29880805368897E-05	4.49608000000054E-05
0.102000000000002	4.63033585625442E-05	5.12417000000064E-05
0.104000000000002	4.97854217065293E-05	5.82854000000073E-05
0.106000000000002	5.34433522298156E-05	6.61694000000084E-05
0.108000000000002	5.72867894150095E-05	7.49779000000097E-05
0.110000000000002	6.13259628578869E-05	8.48019000000111E-05
0.112000000000002	6.55717277312919E-05	9.57396000000125E-05
0.114000000000002	7.00806143344991E-05	0.000107897000000014
0.116000000000002	7.49544238008108E-05	0.000121387000000016
0.118000000000002	8.02226520281768E-05	0.000136334000000019
0.120000000000002	8.59150874567136E-05	0.000152869000000021
0.122000000000002	9.20635367286137E-05	0.000171132000000024
0.124000000000003	9.87019364739722E-05	0.000191276000000027
0.126000000000002	0.000105866469590631	0.000213463000000028
0.128000000000002	0.000113595686125804	0.000237866000000028
0.130000000000002	0.000121930628866629	0.000264670000000028
0.132000000000002	0.000130914963745836	0.000294074000000027
0.134000000000002	0.000140595115167262	0.000326289000000026
0.136000000000001	0.000151429569177729	0.000361539000000025
0.138000000000001	0.000164751319186256	0.000400064000000022
0.140000000000001	0.000179286086855883	0.00044211800000002
0.142000000000001	0.000195126774591684	0.000487974000000016
0.144	0.000212372072594715	0.000537918000000013
0.146	0.000231126739605538	0.000592255000000007
0.148	0.00025150189363658	0.000651309000000001
0.1501	0.000287714955030055	0.000718767999999992
0.1521	0.000329475590577071	0.000788584999999984
0.154099999999999	0.000375030433861407	0.000864227999999976
0.156099999999999	0.000424655509427911	0.000946103999999963
0.158099999999999	0.000478642759264776	0.00103
0.160099999999999	0.000537300749562563	0.00113
0.162099999999998	0.000600955400341964	0.00123
0.164099999999998	0.000669950738462567	0.00134
0.166099999999998	0.000744649674532622	0.00146
0.168099999999998	0.00084880880562896	0.00159
0.170099999999998	0.000961993133452411	0.00173
0.172099999999997	0.00108480979628607	0.00187999999999974
0.174099999999997	0.00121789785113933	0.00203999999999972
0.176099999999997	0.00133267106666477	0.00221
0.178099999999997	0.00145558926968993	0.00239999999999967
0.180099999999996	0.00158949091323447	0.00259999999999965
0.182099999999996	0.00172600515707549	0.00280999999999963
0.184099999999996	0.00185041614484512	0.0030299999999996
0.186099999999996	0.00198617556486836	0.00327999999999917
0.188099999999996	0.0021340195230113	0.00353999999999912
0.190099999999995	0.00232525486708407	0.00380999999999954
0.192099999999995	0.00253739582935776	0.00410999999999902
0.194099999999995	0.00274279952428866	0.00441999999999899
0.196099999999995	0.00298450109719338	0.00474999999999947
0.198099999999995	0.00325548792638495	0.0051099999999989
0.200099999999994	0.00352107649274317	0.00548999999999886
0.202099999999994	0.00380643513745979	0.00588999999999881
0.204099999999994	0.00411500713930194	0.00631999999999815
0.206099999999994	0.00442282539071717	0.00676999999999809
0.208099999999993	0.00477060585417786	0.00724999999999802
0.210099999999993	0.00515910175838348	0.00775999999999795
0.212099999999993	0.00556920876440157	0.00829999999999788
0.214099999999993	0.00596677635353125	0.00886999999999782
0.216099999999993	0.00636360045744909	0.00946999999999776
0.218099999999992	0.00677501517742373	0.0101099999999977
0.220099999999992	0.0072630452661178	0.0107799999999976
0.222099999999992	0.00778526567813774	0.0114899999999976
0.224099999999992	0.00838103963136939	0.0122399999999967
0.226099999999991	0.00897873577541292	0.0130299999999966
0.228099999999991	0.00960947042705265	0.0138599999999965
0.230099999999991	0.0102461228779594	0.0147299999999964
0.232099999999991	0.0109207451295949	0.0156499999999963
0.234099999999991	0.0115920460387852	0.0166199999999953
0.23609999999999	0.0123420458003971	0.0176299999999952
0.23809999999999	0.0131179770797292	0.0186899999999941
0.24009999999999	0.013890582878782	0.0197999999999939
0.24209999999999	0.0147510580581189	0.0209599999999938
0.244099999999989	0.0156475847654416	0.0221799999999926
0.246099999999989	0.016654610213498	0.0234399999999935
0.248099999999989	0.0176968942489876	0.0247699999999923
0.250099999999989	0.0187453127788036	0.0261499999999922
0.252099999999989	0.0198292421429435	0.027579999999992
0.254099999999988	0.020916287397046	0.0290699999999919
0.256099999999988	0.0220310786801834	0.0306299999999905
0.258099999999988	0.0232328349443365	0.0322399999999891
0.260099999999988	0.0244856572901585	0.0338999999999902
0.262099999999987	0.0257916573598415	0.0356299999999887
0.264099999999987	0.0271528386210431	0.0374199999999885
0.266099999999987	0.0285850006819204	0.0392599999999883
0.268099999999987	0.0300760107212254	0.0411699999999868
0.270099999999987	0.031573015356273	0.0431299999999866
0.272099999999986	0.0330644082692238	0.0451499999999863
0.274099999999986	0.034625265633316	0.0472299999999847
0.276099999999986	0.036264166816721	0.0493599999999845
0.278099999999986	0.0379755490395972	0.0515499999999842
0.280099999999985	0.0397041209970911	0.0537899999999825
0.282099999999985	0.0414685958743971	0.0560799999999823
0.284099999999985	0.0432686763733662	0.058419999999982
0.286099999999985	0.0451397675366638	0.0607999999999818
0.288099999999985	0.0469890794757421	0.0632399999999815
0.290099999999984	0.048850705757857	0.0657199999999796
0.292099999999984	0.0508140115085325	0.0682399999999794
0.294099999999984	0.0528702958408877	0.0707999999999792
0.296099999999984	0.054913334824994	0.0733899999999789
0.298099999999983	0.0569701947381793	0.0760299999999769
0.300099999999983	0.0590296030694902	0.0786899999999783
0.302099999999983	0.0610663322598198	0.081379999999978
0.304099999999983	0.0631853167186448	0.084109999999976
0.306099999999983	0.0652853640937501	0.0868499999999774
0.308099999999982	0.0674313620329386	0.0896299999999754
0.310099999999982	0.069601580636223	0.092419999999975
0.312099999999982	0.0718505889414571	0.0952299999999748
0.314099999999982	0.0741070490628569	0.0980499999999744
0.316099999999982	0.0763156173031409	0.100899999999972
0.318099999999981	0.078508306127149	0.103749999999974
0.320099999999981	0.0806763911861214	0.106609999999974
0.322099999999981	0.0828783262611599	0.109479999999973
0.324099999999981	0.0850916489986724	0.112359999999973
0.32609999999998	0.0873584885625875	0.115239999999973
0.32809999999998	0.0895955906408554	0.118129999999972
0.33009999999998	0.0918304300422654	0.12101999999997
0.33209999999998	0.0940721407891075	0.12390999999997
0.33409999999998	0.0963380878749495	0.126789999999971
0.336099999999979	0.0985745203135343	0.129679999999969
0.338099999999979	0.100771695822404	0.132559999999969
0.340099999999979	0.102940183027605	0.13542999999997
0.342099999999979	0.10515325967724	0.13829999999997
0.344099999999978	0.107367338336209	0.14115999999997
0.346099999999978	0.109596830033084	0.144019999999969
0.348099999999978	0.111785096019099	0.146869999999969
0.350099999999978	0.113959543837686	0.149709999999967
0.352099999999978	0.116113809543261	0.152539999999966
0.354099999999977	0.118254249367813	0.155349999999968
0.356099999999977	0.120382177155651	0.158159999999968
0.358099999999977	0.122538969132908	0.160959999999968
0.360099999999977	0.124655022095772	0.16373999999997
0.362099999999976	0.126722120495573	0.166519999999967
0.364099999999976	0.128790498444218	0.169279999999967
0.366099999999976	0.13088005848708	0.172029999999966
