t	fg_V
0	0	0
0.002	0	0
0.0041	5.54236071561478E-10	5.27467E-09
0.006	5.78474889622317E-10	5.26791E-09
0.00800000000000001	6.23371877777817E-10	5.27109E-09
0.0101	6.93959854390537E-10	5.29675E-09
0.0121	7.86044343330882E-10	5.30974E-09
0.0141	9.05323363914764E-10	5.32716999999999E-09
0.0161	1.05509052889132E-09	5.35018999999999E-09
0.0180999999999999	1.23896526203909E-09	5.37999999999998E-09
0.0200999999999999	1.46083262240077E-09	5.41791999999998E-09
0.0220999999999999	1.72479306101395E-09	5.46538999999997E-09
0.0240999999999999	2.03512229675129E-09	5.52393999999996E-09
0.0260999999999999	2.39624019736908E-09	5.59526999999995E-09
0.0280999999999999	2.81268707656166E-09	5.68122999999994E-09
0.0300999999999999	3.28910581330171E-09	5.78385999999993E-09
0.0320999999999999	3.83022840794778E-09	5.90540999999994E-09
0.0341	4.4408658587681E-09	6.04839999999997E-09
0.036	5.0898057050742E-09	6.15445000000001E-09
0.0380000000000001	5.85009963448475E-09	6.34659000000004E-09
0.0400000000000001	6.69449553517176E-09	6.56986000000008E-09
0.0420000000000002	7.62805685296256E-09	6.82838000000012E-09
0.0440000000000002	8.65590182439961E-09	7.12684000000017E-09
0.0460000000000003	9.78320121381203E-09	7.47060000000021E-09
0.0480000000000003	1.10151764689783E-08	7.86585000000026E-09
0.0500000000000004	1.23570981942428E-08	8.31968000000031E-09
0.0520000000000005	1.38142848665423E-08	8.84032000000037E-09
0.0540000000000005	1.53921017390811E-08	9.4372300000004E-09
0.0560000000000006	1.70959598914234E-08	1.01214000000005E-08
0.0580000000000006	1.89313153950331E-08	1.09055000000005E-08
0.0600000000000007	2.09036685708254E-08	1.18043000000005E-08
0.0620000000000007	2.30185633208675E-08	1.28349000000006E-08
0.0640000000000008	2.5281586520512E-08	1.40170000000006E-08
0.0660000000000009	2.76983674603387E-08	1.53736000000006E-08
0.0680000000000009	3.02745773296204E-08	1.69313000000006E-08
0.070000000000001	3.30159287347942E-08	1.87210000000006E-08
0.072000000000001	3.5928175247768E-08	2.07782000000005E-08
0.0740000000000011	4.04162774519275E-08	2.31445000000004E-08
0.0760000000000012	4.98571089962403E-08	2.58676000000002E-08
0.0780000000000012	6.04516506685067E-08	2.90028E-08
0.0800000000000013	7.22776537710806E-08	3.56999000000052E-08
0.0820000000000013	8.54210833002726E-08	4.48329000000067E-08
0.0840000000000014	9.997642839721E-08	5.61220000000086E-08
0.0860000000000014	1.1604714970224E-07	7.00269000000111E-08
0.0880000000000015	1.33746240605404E-07	8.70941000000142E-08
0.0900000000000016	1.53196890313601E-07	1.07971000000018E-07
0.0920000000000016	1.74533243292791E-07	1.33423000000023E-07
0.0940000000000017	1.97901253932788E-07	1.64350000000028E-07
0.0960000000000017	2.23459638239751E-07	2.01808000000035E-07
0.0980000000000018	2.51380926545547E-07	2.47035000000044E-07
0.100000000000002	2.81852622950237E-07	3.01474000000055E-07
0.102000000000002	3.1507847866467E-07	3.66806000000068E-07
0.104000000000002	3.51279887690093E-07	4.44979000000084E-07
0.106000000000002	3.9069741439796E-07	5.38252000000103E-07
0.108000000000002	4.33592463556305E-07	6.49232000000125E-07
0.110000000000002	4.80249104208775E-07	7.80923000000152E-07
0.112000000000002	5.30976059755057E-07	9.36779000000185E-07
0.114000000000002	5.86674011663988E-07	1.12076000000022E-06
0.116000000000002	6.48927090597817E-07	1.33740000000027E-06
0.118000000000002	7.18531020708839E-07	1.59187000000033E-06
0.120000000000002	7.96350312421269E-07	1.89007000000039E-06
0.122000000000002	8.8334729243839E-07	2.23871000000046E-06
0.124000000000003	9.80592370813557E-07	2.64540000000056E-06
0.126000000000002	1.08927527495937E-06	3.11877000000063E-06
0.128000000000002	1.21071732919794E-06	3.66858000000066E-06
0.130000000000002	1.34638486367774E-06	4.30584000000068E-06
0.132000000000002	1.49790384196036E-06	5.04296000000071E-06
0.134000000000002	1.66707580231625E-06	5.89390000000071E-06
0.136000000000001	1.8634426451267E-06	6.8743500000007E-06
0.138000000000001	2.11467363699965E-06	8.00191000000068E-06
0.140000000000001	2.40060044601306E-06	9.29625000000061E-06
0.142000000000001	2.72568270632977E-06	1.07794000000006E-05
0.144	3.09489634562736E-06	1.24760000000004E-05
0.146	3.51378584861372E-06	1.44133000000003E-05
0.148	3.98852105523194E-06	1.66219E-05
0.1501	4.88026780693714E-06	1.92700999999997E-05
0.1521	5.98046382419492E-06	2.21448999999993E-05
0.154099999999999	7.26272781586276E-06	2.54063999999989E-05
0.156099999999999	8.7509488308071E-06	2.91009999999983E-05
0.158099999999999	1.04717011670078E-05	3.32801999999976E-05
0.160099999999999	1.24544963484862E-05	3.80003999999968E-05
0.162099999999998	1.47320560772441E-05	4.33242999999957E-05
0.164099999999998	1.73406073816659E-05	4.93206999999944E-05
0.166099999999998	2.03202013050152E-05	5.60652999999929E-05
0.168099999999998	2.47294703303126E-05	6.36413999999913E-05
0.170099999999998	2.98371926347013E-05	7.21401999999892E-05
0.172099999999997	3.57297845648322E-05	8.16619999999868E-05
0.174099999999997	4.25026781422895E-05	9.23163999999839E-05
0.176099999999997	4.8650180221346E-05	0.000104222999999981
0.178099999999997	5.55339120438836E-05	0.000117513999999977
0.180099999999996	6.33704913137808E-05	0.000132329999999972
0.182099999999996	7.17072609022071E-05	0.000148829999999967
0.184099999999996	7.95983588298095E-05	0.000167179999999962
0.186099999999996	8.85169521978898E-05	0.000187566999999955
0.188099999999996	9.85819903798024E-05	0.000210190999999948
0.190099999999995	0.000112125874470335	0.00023526799999994
0.192099999999995	0.000127815149559756	0.00026303399999993
0.194099999999995	0.000143645193342811	0.000293742999999919
0.196099999999995	0.000163045048514302	0.000327670999999906
0.198099999999995	0.000185747994542689	0.000365113999999892
0.200099999999994	0.00020893595852705	0.000406390999999876
0.202099999999994	0.000234843016729424	0.000451847999999858
0.204099999999994	0.000263970800562955	0.000501853999999839
0.206099999999994	0.000294137022090959	0.000556805999999817
0.208099999999993	0.000329503707219526	0.000617128999999792
0.210099999999993	0.000370562221257339	0.000683276999999764
0.212099999999993	0.00041561407512849	0.000755736999999734
0.214099999999993	0.000460903111403127	0.0008350249999997
0.216099999999993	0.000507638271387431	0.000921693999999662
0.218099999999992	0.00055765475371361	0.00101999999999923
0.220099999999992	0.000618982151611447	0.00111999999999921
0.222099999999992	0.000686926319571837	0.00123
0.224099999999992	0.000767267568479657	0.00135
0.226099999999991	0.00085079080409113	0.00148999999999914
0.228099999999991	0.000941996267276989	0.00162999999999912
0.230099999999991	0.00103714467012797	0.0017899999999991
0.232099999999991	0.00114124373744374	0.00195999999999907
0.234099999999991	0.00124807345379707	0.00213999999999905
0.23609999999999	0.00137113662171105	0.00233999999999903
0.23809999999999	0.00150245094647373	0.00254999999999901
0.24009999999999	0.00163712071981264	0.00278999999999797
0.24209999999999	0.00179157403024462	0.00302999999999897
0.244099999999989	0.00195736117336675	0.00329999999999895
0.246099999999989	0.00214932311472078	0.00358999999999784
0.248099999999989	0.0023542120783719	0.00389999999999781
0.250099999999989	0.00256648681218244	0.00422999999999776
0.252099999999989	0.00279228134099654	0.00457999999999771
0.254099999999988	0.00302501060015399	0.00495999999999767
0.256099999999988	0.0032700443455728	0.00535999999999762
0.258099999999988	0.0035412232794355	0.00578999999999757
0.260099999999988	0.00383148959051593	0.00623999999999754
0.262099999999987	0.00414208375113862	0.00672999999999624
0.264099999999987	0.00447427689863376	0.00723999999999617
0.266099999999987	0.004832894450867	0.00777999999999611
0.268099999999987	0.00521591309102703	0.00834999999999603
0.270099999999987	0.00561014506527602	0.00895999999999596
0.272099999999986	0.00601230677667369	0.00958999999999589
0.274099999999986	0.00644302283822053	0.0102599999999958
0.276099999999986	0.0069058406947756	0.0109699999999943
0.278099999999986	0.00740041529778944	0.0116999999999957
0.280099999999985	0.00791140064777505	0.0124699999999942
0.282099999999985	0.0084445983023083	0.0132799999999941
0.284099999999985	0.00900037106791586	0.014119999999994
0.286099999999985	0.00959044981926122	0.0149899999999939
0.288099999999985	0.0101858061291091	0.0158999999999938
0.290099999999984	0.0107970786185689	0.0168499999999922
0.292099999999984	0.0114544758893813	0.0178199999999936
0.294099999999984	0.0121567535038339	0.018839999999992
0.296099999999984	0.0128681681748633	0.0198799999999919
0.298099999999983	0.0135978910127647	0.0209599999999918
0.300099999999983	0.0143418373994797	0.0220699999999917
0.302099999999983	0.0150904695918483	0.0232199999999899
0.304099999999983	0.0158826969758035	0.0243899999999897
0.306099999999983	0.0166810638898157	0.0255999999999896
0.308099999999982	0.017510272227364	0.0268299999999894
0.310099999999982	0.0183623665981804	0.0280999999999875
0.312099999999982	0.0192595217436377	0.0293899999999874
0.314099999999982	0.0201738728865024	0.0306999999999891
0.316099999999982	0.021082404040458	0.0320499999999871
0.318099999999981	0.0219975042798996	0.0334199999999869
0.320099999999981	0.0229149911942969	0.0348099999999868
0.322099999999981	0.0238595065614999	0.0362299999999847
0.324099999999981	0.0248216364226549	0.0376599999999865
0.32609999999998	0.0258200849732996	0.0391199999999863
0.32809999999998	0.0268182203754074	0.0405999999999861
0.33009999999998	0.0278278675225622	0.042099999999984
0.33209999999998	0.0288530375528099	0.0436099999999858
0.33409999999998	0.0299017794051395	0.0451499999999836
0.336099999999979	0.0309490276187021	0.0466999999999834
0.338099999999979	0.0319895293582261	0.0482599999999833
0.340099999999979	0.0330276295036329	0.0498399999999831
0.342099999999979	0.0340984085598007	0.0514299999999829
0.344099999999978	0.0351810081482034	0.0530399999999827
0.346099999999978	0.0362824820657931	0.0546599999999804
0.348099999999978	0.0373745400131686	0.0562799999999824
0.350099999999978	0.0384703425358969	0.0579199999999822
0.352099999999978	0.0395663338284649	0.059569999999982
