t	fs_A	fs_V
0	0	0	0
0.002	0	0	0
0.0041	6.74712719142671E-07	7.46142176577777E-12	5.27467E-09
0.006	6.94243858652492E-07	3.16898595235966E-11	5.26771E-09
0.00800000000000001	7.29715956085248E-07	7.65567618656046E-11	5.27068E-09
0.0101	7.83812051771922E-07	1.47081506163572E-10	5.29675E-09
0.0121	8.51700828714147E-07	2.39066523617725E-10	5.30974E-09
0.0141	9.35818280015307E-07	3.58200266433063E-10	5.32716999999999E-09
0.0161	1.03637164380686E-06	5.07770409277205E-10	5.35018999999999E-09
0.0180999999999999	1.15352884414553E-06	6.91391777211381E-10	5.37999999999998E-09
0.0200999999999999	1.28742719231779E-06	9.12945970493423E-10	5.41791999999997E-09
0.0220999999999999	1.43818151647216E-06	1.17653088800843E-09	5.46538999999996E-09
0.0240999999999999	1.60589093646372E-06	1.48642038150297E-09	5.52393999999995E-09
0.0260999999999999	1.79064408119098E-06	1.8470329487714E-09	5.59526999999994E-09
0.0280999999999999	1.99252288054796E-06	2.26290788248469E-09	5.68122999999993E-09
0.0300999999999999	2.21160519925776E-06	2.7386872781254E-09	5.78385999999992E-09
0.0320999999999999	2.44796659644146E-06	3.27910250920432E-09	5.90540999999993E-09
0.0341	2.70168145726852E-06	3.88896404654875E-09	6.04839999999996E-09
0.036	2.95885153854848E-06	4.53710285429282E-09	6.13693000000001E-09
0.0380000000000001	3.24661816223661E-06	5.29648588275474E-09	6.32617000000005E-09
0.0400000000000001	3.55195626368681E-06	6.13990103064455E-09	6.54617000000011E-09
0.0420000000000002	3.87494003546101E-06	7.07241132669257E-09	6.80098000000017E-09
0.0440000000000002	4.21564391570768E-06	8.09913458621667E-09	7.09523000000024E-09
0.0460000000000003	4.57414256043975E-06	9.22524114357185E-09	7.43421000000032E-09
0.0480000000000003	4.9505107907919E-06	1.04559520052063E-08	7.8240200000004E-09
0.0500000000000004	5.34482352842579E-06	1.17965373215138E-08	8.27167000000049E-09
0.0520000000000005	5.75715572729035E-06	1.32523151024727E-08	8.78525000000061E-09
0.0540000000000005	6.18758230667793E-06	1.48286501214926E-08	9.37409000000073E-09
0.0560000000000006	6.63617808839291E-06	1.65309529660215E-08	1.00490000000009E-08
0.0580000000000006	7.10301773948647E-06	1.8364679203798E-08	1.0822600000001E-08
0.0600000000000007	7.58817572115357E-06	2.0335328641215E-08	1.17092000000012E-08
0.0620000000000007	8.09172624386332E-06	2.24484446558729E-08	1.27258000000014E-08
0.0640000000000008	8.6137432284836E-06	2.47096135895583E-08	1.38919000000016E-08
0.0660000000000009	9.15430027299192E-06	2.7124464191004E-08	1.52299000000018E-08
0.0680000000000009	9.71347062428349E-06	2.96986671001287E-08	1.67663000000021E-08
0.070000000000001	1.02913271545617E-05	3.24379343672291E-08	1.85313000000024E-08
0.072000000000001	1.08879423418041E-05	3.53480190019527E-08	2.05601000000027E-08
0.0740000000000011	1.17767804543684E-05	3.96740505924559E-08	2.28935000000032E-08
0.0760000000000012	1.3545876135679E-05	4.90983946877642E-08	2.55786000000036E-08
0.0780000000000012	1.54026157593323E-05	5.96759062004067E-08	2.86701000000041E-08
0.0800000000000013	1.73510223683867E-05	7.14842331221735E-08	3.54480000000048E-08
0.0820000000000013	1.93954155405057E-05	8.46092421937026E-08	4.35141000000057E-08
0.0840000000000014	2.15404175348809E-05	9.91453260748443E-08	5.26560000000067E-08
0.0860000000000014	2.3790963140994E-05	1.1519584833934E-07	6.3018600000008E-08
0.0880000000000015	2.61523123465344E-05	1.32873702915985E-07	7.47665000000095E-08
0.0900000000000016	2.86300653113961E-05	1.52301975680561E-07	8.80871000000111E-08
0.0920000000000016	3.12301793488215E-05	1.73614702624237E-07	1.03193000000013E-07
0.0940000000000017	3.39589877448732E-05	1.9695772336077E-07	1.20328000000015E-07
0.0960000000000017	3.68232203300751E-05	2.22489631720367E-07	1.39767000000018E-07
0.0980000000000018	3.98225337670889E-05	2.50124109034807E-07	1.61824000000021E-07
0.100000000000002	4.29213372510151E-05	2.79446050848709E-07	1.86857000000025E-07
0.102000000000002	4.6056868209302E-05	3.09118122985259E-07	2.15274000000029E-07
0.104000000000002	4.92312851955921E-05	3.39163945278875E-07	2.47536000000034E-07
0.106000000000002	5.24461366966186E-05	3.69602126755355E-07	2.84172000000039E-07
0.108000000000002	5.57033025982803E-05	4.00455296560637E-07	3.25780000000046E-07
0.110000000000002	5.90049930732286E-05	4.31750241562103E-07	3.73041000000054E-07
0.112000000000002	6.41191181804853E-05	5.12738574387547E-07	4.26730000000063E-07
0.114000000000002	7.08010351409684E-05	6.39028509667791E-07	4.87726000000073E-07
0.116000000000002	7.75007300002468E-05	7.65523032732422E-07	5.57027000000085E-07
0.118000000000002	8.42374399036955E-05	8.92596750572045E-07	6.35766000000099E-07
0.120000000000002	9.10292139272716E-05	1.0206058930323E-06	7.25228000000115E-07
0.122000000000002	9.78932349433632E-05	1.1498951512468E-06	8.26866000000135E-07
0.124000000000003	0.000104846067016781	1.28080320592555E-06	9.42329000000156E-07
0.126000000000002	0.000111903852657046	1.41366741630731E-06	1.07348000000017E-06
0.128000000000002	0.000119082471987068	1.54882790931654E-06	1.22243000000018E-06
0.130000000000002	0.000128734365338534	1.79575975335764E-06	1.39155000000018E-06
0.132000000000002	0.000139780375688685	2.10674162634162E-06	1.58353000000018E-06
0.134000000000002	0.000151019732965077	2.42284584486416E-06	1.80140000000018E-06
