t	fd_A	fd_V
0	0	0	0
0.002	0	0	0
0.0041	0	0	2.01948391736579E-27
0.006	0	0	2.01827999999995E-13
0.00800000000000001	0	0	4.06885999999968E-13
0.0101	0	0	3.87740912134232E-26
0.0121	0	0	1.80945758995975E-25
0.0141	0	0	4.9113848870336E-25
0.0161	0	0	8.78879400837592E-25
0.0180999999999999	0	0	1.55096364853693E-24
0.0200999999999999	0	0	2.58493941422821E-24
0.0220999999999999	0	0	3.92910790962688E-24
0.0240999999999999	0	0	5.37667398159468E-24
0.0260999999999999	0	0	7.85821581925376E-24
0.0280999999999999	0	0	9.92616735063633E-24
0.0300999999999999	0	0	1.32348898008484E-23
0.0320999999999999	0	0	1.32348898008484E-23
0.0341	0	0	7.44462551297725E-24
0.036	0	0	1.7524799999998E-11
0.0380000000000001	0	0	2.0420599999988E-11
0.0400000000000001	0	0	2.3697099999972E-11
0.0420000000000002	0	0	2.74074999999521E-11
0.0440000000000002	0	0	3.16142999999249E-11
0.0460000000000003	0	0	3.6390599999894E-11
0.0480000000000003	0	0	4.18221999998553E-11
0.0500000000000004	0	0	4.80091999998092E-11
0.0520000000000005	0	0	5.50684999997417E-11
0.0540000000000005	0	0	6.313669999967E-11
0.0560000000000006	0	0	7.237249999958E-11
0.0580000000000006	0	0	8.29611999994796E-11
0.0600000000000007	0	0	9.51178999993429E-11
0.0620000000000007	0	0	1.09091999999174E-10
0.0640000000000008	0	0	1.2517499999899E-10
0.0660000000000009	0	0	1.43700999998774E-10
0.0680000000000009	0	0	1.65060999998489E-10
0.070000000000001	0	0	1.89702999998185E-10
0.072000000000001	0	0	2.18148999997717E-10
0.0740000000000011	0	1.56001157793399E-10	2.50995999997253E-10
0.0760000000000012	0	1.55621879406847E-10	2.88934999996704E-10
0.0780000000000012	0	1.55244335604311E-10	3.3276099999599E-10
0.0800000000000013	0	1.54868514887851E-10	2.51894000000404E-10
0.0820000000000013	0	1.54494405873555E-10	1.31880000000105E-09
0.0840000000000014	0	1.54121997290716E-10	3.46596000000193E-09
0.0860000000000014	0	1.53751277980826E-10	7.00827000000318E-09
0.0880000000000015	0	1.53382236897715E-10	1.23276000000047E-08
0.0900000000000016	0	1.53014863106779E-10	1.98842000000069E-08
0.0920000000000016	0	1.52649145784971E-10	3.02296000000097E-08
0.0940000000000017	0	1.52285074220978E-10	4.40218000000132E-08
0.0960000000000017	0	1.51922637814859E-10	6.20415000000176E-08
0.0980000000000018	0	1.51561826078934E-10	8.52113000000235E-08
0.100000000000002	0	1.51202628638329E-10	1.1461700000003E-07
0.102000000000002	0	1.50845035230285E-10	1.51532000000039E-07
0.104000000000002	0	1.50489035706199E-10	1.9744200000005E-07
0.106000000000002	0	1.50134620032123E-10	2.54080000000063E-07
0.108000000000002	0	1.49781778289626E-10	3.2345200000008E-07
0.110000000000002	0	1.49430500678036E-10	4.07882000000099E-07
0.112000000000002	0	1.49080777514468E-10	5.10049000000122E-07
0.114000000000002	4.47697815528568E-08	7.04969531382554E-10	6.33034000000151E-07
0.116000000000002	2.22145897326553E-07	2.9716538271472E-09	7.80371000000186E-07
0.118000000000002	5.46114219913153E-07	7.25064847060555E-09	9.56103000000226E-07
0.120000000000002	1.02980180781054E-06	1.38592323875971E-08	1.16484000000028E-06
0.122000000000002	1.68712928588608E-06	2.31538658608803E-08	1.41184000000034E-06
0.124000000000003	2.53283677622188E-06	3.55341414749307E-08	1.7030700000004E-06
0.126000000000002	3.58251391142798E-06	5.14471147911669E-08	2.04529000000046E-06
0.128000000000002	4.85262827687616E-06	7.13919587315513E-08	2.44615000000048E-06
0.130000000000002	6.36055350193943E-06	9.59249773079868E-08	2.9142900000005E-06
0.132000000000002	8.12459691229867E-06	1.25664997440998E-07	3.45942000000053E-06
0.134000000000002	1.01640266571303E-05	1.6129915788819E-07	4.09250000000053E-06
0.136000000000001	1.24990982284039E-05	2.03589114559363E-07	4.82578000000052E-06
0.138000000000001	1.51510802941744E-05	2.53377681729088E-07	5.6730300000005E-06
0.140000000000001	1.81422797731492E-05	3.11595928864584E-07	6.64963000000047E-06
0.142000000000001	2.14960660834188E-05	3.79270752959687E-07	7.77275000000042E-06
0.144	2.52368945035906E-05	4.57532946395875E-07	9.06154000000032E-06
0.146	2.93903285892282E-05	5.4762578042732E-07	1.05373000000002E-05
0.148	3.39830615911783E-05	6.50914124397298E-07	1.22237E-05
0.1501	3.93087084548669E-05	7.75207521464832E-07	1.42499999999998E-05
0.1521	4.48903291225499E-05	9.10378976276905E-07	1.64534999999995E-05
0.154099999999999	5.09998462637964E-05	1.06376348967988E-06	1.89570999999991E-05
0.156099999999999	5.76687250038332E-05	1.23732343095598E-06	2.17962999999987E-05
0.158099999999999	6.49296512620287E-05	1.43319771449411E-06	2.50108999999981E-05
0.160099999999999	7.28165460400301E-05	1.6537145775337E-06	2.86441999999974E-05
0.162099999999998	8.13645783330973E-05	1.90140502712844E-06	3.27440999999967E-05
0.164099999999998	9.06101765975252E-05	2.17901697245218E-06	3.73632999999957E-05
0.166099999999998	0.00010059103870154	2.48953005735297E-06	4.25594999999946E-05
0.168099999999998	0.000111346140281226	2.83617120663477E-06	4.83961999999932E-05
0.170099999999998	0.000122915741416953	3.22243089789019E-06	5.49425999999916E-05
0.172099999999997	0.000135341391539608	3.65208016880632E-06	6.22746999999898E-05
0.174099999999997	0.000150276405909389	4.19620542243177E-06	7.04752999999877E-05
