t	fsi_A	fsi_V
0	0	0	0
0.002	0	0	0
0.0041	1	0.0110415781617109	1
0.006	1	0.0454441316666006	0.999962034279249
0.00800000000000001	1	0.103881095223387	0.999922217226418
0.0101	1	0.184072141160265	1
0.0121	1	0.271663209430648	1
0.0141	1	0.363597694636658	1
0.0161	1	0.454252940928558	1
0.0180999999999999	1	0.537332813604625	1
0.0200999999999999	1	0.609189782582446	1
0.0220999999999999	1	0.670168627340888	1
0.0240999999999999	1	0.72130107075069	0.999999999999999
0.0260999999999999	1	0.76388538043685	0.999999999999999
0.0280999999999999	1	0.799239522569954	0.999999999999998
0.0300999999999999	1	0.82857589969492	0.999999999999998
0.0320999999999999	1	0.852950916377013	0.999999999999998
0.0341	1	0.873255935211753	0.999999999999998
0.036	1	0.889449262963092	0.997151659122003
0.0380000000000001	1	0.903816757559766	0.996782524158645
0.0400000000000001	1	0.91592331508169	0.996394139296731
0.0420000000000002	1	0.926170383174504	0.99598587661221
0.0440000000000002	1	0.934882988880605	0.995564654180545
0.0460000000000003	1	0.942324518208362	0.99512891182917
0.0480000000000003	1	0.948708839705104	0.994683346364366
0.0500000000000004	1	0.954210103918654	0.994229352295601
0.0520000000000005	1	0.958970595616188	0.993770594536658
0.0540000000000005	1	0.963106995738666	0.993310544184564
0.0560000000000006	1	0.966715364615557	0.99284683937009
0.0580000000000006	1	0.969875106477406	0.992398331117374
0.0600000000000007	1	0.972652126713254	0.991935210599492
0.0620000000000007	1	0.975101351083307	0.991507530249619
0.0640000000000008	1	0.977268740985487	0.991068052592977
0.0660000000000009	1	0.979192910445647	0.990652868210076
0.0680000000000009	1	0.98090642785327	0.990248886684002
0.070000000000001	1	0.982436867601307	0.989866994284593
0.072000000000001	1	0.983807662783392	0.989503472372729
0.0740000000000011	1	0.98159248082939	0.989155137699626
0.0760000000000012	1	0.984761201893892	0.988831631726181
0.0780000000000012	1	0.987161210064942	0.988528772885703
0.0800000000000013	1	0.989026518630522	0.992944017120343
0.0820000000000013	1	0.990507260132352	0.970579969397797
0.0840000000000014	1	0.991703657418161	0.938237112612163
0.0860000000000014	1	0.99268486576501	0.899913034910242
0.0880000000000015	1	0.993499957265941	0.858447986644575
0.0900000000000016	1	0.994184598157305	0.815826958341789
0.0920000000000016	1	0.994765255498039	0.773419173030911
0.0940000000000017	1	0.99526193036227	0.732134708405553
0.0960000000000017	1	0.995689982109258	0.692560017838085
0.0980000000000018	1	0.996061375190513	0.655050699265283
0.100000000000002	1	0.996385549396118	0.619797073856726
0.102000000000002	1	0.9966700387908	0.586873849928409
0.104000000000002	1	0.996920919413	0.556273398560889
0.106000000000002	1	0.997143138095244	0.527937594860726
0.108000000000002	1	0.997340757345699	0.501777347901194
0.110000000000002	1	0.997517140041544	0.47767643929313
0.112000000000002	1	0.997675090353222	0.455512018196718
0.114000000000002	0.999368449029568	0.996879599857442	0.435158982228227
0.116000000000002	0.997048193877666	0.993610997728962	0.416484494153513
0.118000000000002	0.993205381371831	0.988191746634394	0.399365613752972
0.120000000000002	0.988024258198581	0.98095671011523	0.383686176178064
0.122000000000002	0.981679691470898	0.972212956697483	0.369331737446892
0.124000000000003	0.974336400097895	0.962239811507427	0.356196757247045
0.126000000000002	0.966148399295478	0.951289328861212	0.344181469050421
0.128000000000002	0.957258698668078	0.939587191203619	0.333197981163326
0.130000000000002	0.9477992048736	0.927333914299353	0.323160651596476
0.132000000000002	0.937890797853491	0.914706275068059	0.313992490712502
0.134000000000002	0.927643550912084	0.901858889078734	0.305622646629798
0.136000000000001	0.917157066860436	0.888925875491116	0.297985115213132
0.138000000000001	0.906520904800794	0.876022557689453	0.291024835448442
0.140000000000001	0.895815074746182	0.863247157665431	0.284683297546224
0.142000000000001	0.885110580001192	0.850682451151925	0.278913646183944
0.144	0.874469989959018	0.838397358461202	0.273667766847181
0.146	0.863948028606695	0.826448452888305	0.268907918457911
0.148	0.85359216651038	0.814881374408444	0.264593491291461
0.1501	0.842941836557406	0.803186176082155	0.260506624491172
0.1521	0.83304737385729	0.792505252206169	0.257002792905389
0.154099999999999	0.823425000788532	0.782290904034608	0.253849027518896
0.156099999999999	0.814098619183838	0.77255680814774	0.251017647927117
0.158099999999999	0.805087632291843	0.763311261121549	0.248486703883787
0.160099999999999	0.796407410708264	0.754557976926876	0.24623190462674
0.162099999999998	0.788069727025929	0.746296795965414	0.244234745268516
0.164099999999998	0.780083158896852	0.738524312238736	0.24247325759355
0.166099999999998	0.772453460793797	0.731234425344861	0.240933306743399
0.168099999999998	0.765183905219181	0.724418823986556	0.23959813432953
0.170099999999998	0.758275594455454	0.718067407510145	0.238453834704618
0.172099999999997	0.751727744201366	0.712168651716859	0.237484850854218
0.174099999999997	0.745537940609194	0.706709924836623	0.236679044852106
0.176099999999997	0.739702372343646	0.701677759155308	0.236025908421194
0.178099999999997	0.734216039336393	0.697058083363055	0.235515667678944
0.180099999999996	0.729072939922045	0.692836420260502	0.235135359012012
0.182099999999996	0.724266238021104	0.688998054034242	0.234878553213705
0.184099999999996	0.719788411990733	0.685528170901675	0.234735375049138
0.186099999999996	0.715631386701757	0.682411976534956	0.234699692768111
0.188099999999996	0.711786650325206	0.679634793307912	0.234762792722866
0.190099999999995	0.708245357228457	0.677182140070894	0.234918521899352
0.192099999999995	0.704998418292989	0.675039796847513	0.23515921016346
0.194099999999995	0.702036579875635	0.673193856564006	0.235480305058618
