t	fs_A	fs_V
0	0	0	0
0.002	0	0	0
0.0041	6.73610513476204E-09	6.10434375305412E-15	5.27465E-12
0.006	6.89704822494159E-09	2.60295919987234E-14	5.26771E-12
0.00800000000000001	7.19389522272129E-09	6.33836940177493E-14	5.27068E-12
0.0101	7.65826263127236E-09	1.23361208489603E-13	5.29672E-12
0.0121	8.26133534020176E-09	2.03986639372671E-13	5.3097E-12
0.0141	9.0402793348498E-09	3.12528630363985E-13	5.32713999999999E-12
0.0161	1.00178014150338E-08	4.55462581403029E-13	5.35015999999999E-12
0.0180999999999999	1.11871566230428E-08	6.35800066117285E-13	5.37996999999998E-12
0.0200999999999999	1.25242423428874E-08	8.53843384489186E-13	5.41789999999997E-12
0.0220999999999999	1.40301675443208E-08	1.11372325441139E-12	5.46536999999996E-12
0.0240999999999999	1.57058841427854E-08	1.41974187766394E-12	5.52392999999996E-12
0.0260999999999999	1.75522420441957E-08	1.77634184035907E-12	5.59525999999994E-12
0.0280999999999999	1.95700283562702E-08	2.18808269224901E-12	5.68121999999993E-12
0.0300999999999999	2.17599940474341E-08	2.65962346551186E-12	5.78384999999992E-12
0.0320999999999999	2.4122871334497E-08	3.19570965860123E-12	5.90539999999993E-12
0.0341	2.66593845466681E-08	3.80116352051739E-12	6.04839999999996E-12
0.036	2.92305607618592E-08	4.44505117674968E-12	6.13693000000001E-12
0.0380000000000001	3.21077450688505E-08	5.19990001897137E-12	6.32617000000006E-12
0.0400000000000001	3.51607052631245E-08	6.0387270212408E-12	6.5461700000001E-12
0.0420000000000002	3.83901740212684E-08	6.96660110421409E-12	6.80098000000017E-12
0.0440000000000002	4.17968880644356E-08	7.98864507749462E-12	7.09523000000025E-12
0.0460000000000003	4.53815875940973E-08	9.11003352950676E-12	7.43422000000032E-12
0.0480000000000003	4.91450155295209E-08	1.03359911087122E-11	7.82403000000041E-12
0.0500000000000004	5.30879166704172E-08	1.16717910998836E-11	8.27168000000049E-12
0.0520000000000005	5.72110368591839E-08	1.31227542249919E-11	8.78526000000061E-12
0.0540000000000005	6.15151221854952E-08	1.46942476168435E-11	9.37411000000073E-12
0.0560000000000006	6.60009182558048E-08	1.63916839270172E-11	1.00490000000009E-11
0.0580000000000006	7.06691695376917E-08	1.82205205393918E-11	1.0822600000001E-11
0.0600000000000007	7.55206187812736E-08	2.01862588676574E-11	1.17092000000012E-11
0.0620000000000007	8.05560065153793E-08	2.22944437204277E-11	1.27259000000014E-11
0.0640000000000008	8.57760706136816E-08	2.45506627214251E-11	1.38919000000016E-11
0.0660000000000009	9.11815459247754E-08	2.69605457750836E-11	1.52300000000018E-11
0.0680000000000009	9.67731639597702E-08	2.95297645700623E-11	1.67663000000021E-11
0.070000000000001	1.02551652631013E-07	3.22640321147849E-11	1.85313000000024E-11
0.072000000000001	1.08517736035886E-07	3.51691023003512E-11	2.05602000000028E-11
0.0740000000000011	1.174049630993E-07	3.94876149076408E-11	2.28936000000031E-11
0.0760000000000012	1.35091518177004E-07	4.88959681617887E-11	2.55788000000036E-11
0.0780000000000012	1.53654542033383E-07	5.9457436794615E-11	2.86703000000041E-11
0.0800000000000013	1.73134250741842E-07	7.12495986299658E-11	3.54483000000048E-11
0.0820000000000013	1.93573831144995E-07	8.43582632307791E-11	4.35144000000057E-11
0.0840000000000014	2.15019501238589E-07	9.88777758524411E-11	5.26564000000067E-11
0.0860000000000014	2.37520608040361E-07	1.14911460459099E-10	6.3019200000008E-11
0.0880000000000015	2.6112975395016E-07	1.32572177990055E-10	7.47673000000094E-11
0.0900000000000016	2.85902946377563E-07	1.51982987335509E-10	8.8088100000011E-11
0.0920000000000016	3.11899767594718E-07	1.73277903307245E-10	1.03195000000013E-10
0.0940000000000017	3.39183563096234E-07	1.96602750287985E-10	1.20330000000015E-10
0.0960000000000017	3.67821647588485E-07	2.2211611326696E-10	1.39769000000018E-10
0.0980000000000018	3.97885528287079E-07	2.49990390195847E-10	1.61827000000021E-10
0.100000000000002	4.29451145581657E-07	2.80412951355457E-10	1.86862000000025E-10
0.102000000000002	4.62599131387437E-07	3.13587412895667E-10	2.15280000000029E-10
0.104000000000002	4.97415085664726E-07	3.49735032998449E-10	2.47545000000034E-10
0.106000000000002	5.33989871649571E-07	3.89096240255232E-10	2.84183000000039E-10
0.108000000000002	5.7241993029125E-07	4.31932304847889E-10	3.25795000000046E-10
0.110000000000002	6.12807614259455E-07	4.78527163996718E-10	3.73061000000054E-10
0.112000000000002	6.55261541846287E-07	5.2918941409551E-10	4.26756000000062E-10
0.114000000000002	6.99898865045753E-07	5.84261394685697E-10	4.87761000000073E-10
0.116000000000002	7.46858277979442E-07	6.44168466676242E-10	5.57073000000085E-10
0.118000000000002	7.96294838708228E-07	7.09403745902933E-10	6.35826000000099E-10
0.120000000000002	8.48375151935607E-07	7.80513358733682E-10	7.25305000000116E-10
0.122000000000002	9.03278084916157E-07	8.58101981506826E-10	8.26967000000134E-10
0.124000000000003	9.6119563017408E-07	9.42839157584857E-10	9.42461000000155E-10
0.126000000000002	1.02233377293634E-06	1.03546620361137E-09	1.07365000000017E-09
0.128000000000002	1.08691342122618E-06	1.13680384054339E-09	1.22265000000018E-09
0.130000000000002	1.15517138759539E-06	1.24776059839294E-09	1.39184000000018E-09
0.132000000000002	1.22736142461405E-06	1.36934206622807E-09	1.58391000000018E-09
