t	Sv
0	0	0
0.002	0	0
0.0041	2.50402683525727E-06	9.0844E-06
0.006	2.56382201004352E-06	9.08583E-06
0.00800000000000001	2.67410831463351E-06	9.08925E-06
0.0101	2.84662998707763E-06	9.09634E-06
0.0121	3.07067901247148E-06	9.107E-06
0.0141	3.36006004011176E-06	9.12286E-06
0.0161	3.72320499186247E-06	9.14522E-06
0.0180999999999999	4.15788874188056E-06	9.17543E-06
0.0200999999999999	4.65492428174152E-06	9.21496E-06
0.0220999999999999	5.21472376224913E-06	9.26538E-06
0.0240999999999999	5.83764095263964E-06	9.32834999999999E-06
0.0260999999999999	6.52399170893089E-06	9.40564999999999E-06
0.0280999999999999	7.27406855283662E-06	9.49918999999999E-06
0.0300999999999999	8.08815058234322E-06	9.61100999999999E-06
0.0320999999999999	8.96650993470147E-06	9.74329999999999E-06
0.0341	9.90941582383811E-06	9.89842999999999E-06
0.036	1.08652073602199E-05	1.00597E-05
0.0380000000000001	1.19347524908756E-05	1.02654E-05
0.0400000000000001	1.30696395648454E-05	1.05021E-05
0.0420000000000002	1.42701409221387E-05	1.07729000000001E-05
0.0440000000000002	1.55365304097967E-05	1.10814000000001E-05
0.0460000000000003	1.68690831714935E-05	1.14316000000001E-05
0.0480000000000003	1.82680753635538E-05	1.18278000000001E-05
0.0500000000000004	1.9733783843251E-05	1.22747000000002E-05
0.0520000000000005	2.12664858570389E-05	1.27777000000002E-05
0.0540000000000005	2.28664587445904E-05	1.33425000000003E-05
0.0560000000000006	2.45339796670186E-05	1.39755000000004E-05
0.0580000000000006	2.62693253629645E-05	1.46838000000005E-05
0.0600000000000007	2.80727719333663E-05	1.54752000000006E-05
0.0620000000000007	2.99445946540485E-05	1.63584000000007E-05
0.0640000000000008	3.18850678143382E-05	1.73430000000008E-05
0.0660000000000009	3.38944645794712E-05	1.8439500000001E-05
0.0680000000000009	3.59730568743914E-05	1.96596000000012E-05
0.070000000000001	3.81211152865699E-05	2.10162000000014E-05
0.072000000000001	4.03389089855886E-05	2.25234000000017E-05
0.0740000000000011	4.36425876452522E-05	2.41969000000019E-05
0.0760000000000012	5.02172653056514E-05	2.60537000000022E-05
0.0780000000000012	5.71177558682983E-05	2.81128000000026E-05
0.0800000000000013	6.43590089514214E-05	3.25385000000031E-05
0.0820000000000013	7.19570785172976E-05	3.78749000000038E-05
0.0840000000000014	7.99291453161693E-05	4.39922000000045E-05
0.0860000000000014	8.82935532655385E-05	5.09876000000054E-05
0.0880000000000015	9.7069856421218E-05	5.89678000000064E-05
0.0900000000000016	0.000106278874598065	6.80501000000075E-05
0.0920000000000016	0.000115942756509356	7.83631000000089E-05
0.0940000000000017	0.000126085049786028	9.00475000000103E-05
0.0960000000000017	0.000136730777549477	0.000103257000000012
0.0980000000000018	0.00014790652141846	0.000118159000000014
0.100000000000002	0.000159640510972088	0.000134937000000016
0.102000000000002	0.000171962719787619	0.000153788000000019
0.104000000000002	0.000184904968231911	0.000174929000000022
0.106000000000002	0.000198501033208491	0.000198591000000025
0.108000000000002	0.000212786765044457	0.000225029000000029
0.110000000000002	0.000227800211652108	0.000254515000000033
0.112000000000002	0.000243581750086175	0.000287345000000038
0.114000000000002	0.000260339331228106	0.000323835000000043
0.116000000000002	0.0002784532134801	0.000364328000000049
0.118000000000002	0.000298033496880009	0.000409193000000056
0.120000000000002	0.000319190993144837	0.000458824000000063
0.122000000000002	0.000342044030538173	0.000513647000000071
0.124000000000003	0.000366718871763233	0.000574116000000081
0.126000000000002	0.000393350148944965	0.000640718000000085
0.128000000000002	0.000422081316163814	0.000713976000000085
0.130000000000002	0.000453065120011405	0.000794446000000084
0.132000000000002	0.00048646408864602	0.000882723000000083
0.134000000000002	0.000522451039833598	0.000979442000000079
0.136000000000001	0.000561209608467791	0.00109
0.138000000000001	0.000602934794070577	0.00120000000000011
0.140000000000001	0.000647833528782901	0.00133
0.142000000000001	0.00069612526636299	0.00146000000000007
0.144	0.000748042592718088	0.00161000000000005
0.146	0.000803831858503643	0.00178000000000003
0.148	0.000863753834332349	0.00196
0.1501	0.000931421804722697	0.00215999999999998
0.1521	0.00100069556990144	0.00236999999999995
0.154099999999999	0.00107499363657315	0.00259999999999987
0.156099999999999	0.00115464236299982	0.00283999999999991
0.158099999999999	0.00123998620168412	0.00310999999999978
0.160099999999999	0.00133138850342287	0.00339999999999974
0.162099999999998	0.00142923234803762	0.00370999999999969
0.164099999999998	0.00153392140239512	0.00403999999999964
0.166099999999998	0.00164588080633913	0.00439999999999961
0.168099999999998	0.00176555808716426	0.00478999999999956
0.170099999999998	0.00189342410327181	0.00520999999999952
0.172099999999997	0.00202997401765699	0.00565999999999921
0.174099999999997	0.00217572830188589	0.00613999999999943
0.176099999999997	0.00233123377123066	0.00665999999999908
0.178099999999997	0.00249706465164016	0.00721999999999901
0.180099999999996	0.00267382367923352	0.00780999999999895
0.182099999999996	0.00286214323301341	0.00844999999999888
0.184099999999996	0.00306268650150568	0.00912999999999881
0.186099999999996	0.00327614868404172	0.00985999999999875
0.188099999999996	0.00350325822740977	0.0106499999999982
0.190099999999995	0.00374477809861141	0.0114799999999982
0.192099999999995	0.00400150709446915	0.0123699999999981
0.194099999999995	0.00427428118884138	0.0133199999999975
0.196099999999995	0.00456397491821073	0.0143399999999974
0.198099999999995	0.0048715028064221	0.0154199999999967
0.200099999999994	0.00519782082935642	0.0165699999999966
0.202099999999994	0.00554392792033673	0.0177899999999964
0.204099999999994	0.00591086751707312	0.0190999999999957
0.206099999999994	0.00629972915096304	0.0204799999999955
0.208099999999993	0.00671165007957392	0.0219499999999954
0.210099999999993	0.00714781696314469	0.0235199999999945
0.212099999999993	0.00760946758595353	0.0251799999999937
0.214099999999993	0.00809789262340839	0.0269399999999935
0.216099999999993	0.00861443745572778	0.0287999999999933
0.218099999999992	0.00916050402908818	0.0307799999999923
0.220099999999992	0.00973755276512499	0.0328799999999913
0.222099999999992	0.0103471045196834	0.0350899999999911
0.224099999999992	0.0109907425917251	0.03743999999999
0.226099999999991	0.0116701147833064	0.0399299999999889
0.228099999999991	0.0123869355115524	0.0425499999999886
0.230099999999991	0.0131429879735605	0.0453299999999874
0.232099999999991	0.0139401263651768	0.0482599999999861
0.234099999999991	0.0147802781545956	0.0513599999999849
0.23609999999999	0.0156654464117422	0.0546199999999845
0.23809999999999	0.0165977121944062	0.0580699999999821
0.24009999999999	0.0175792369921	0.0617099999999808
0.24209999999999	0.018612265228626	0.0655399999999793
0.244099999999989	0.0196991268243403	0.0695799999999778
0.246099999999989	0.0208422398191088	0.0738299999999762
0.248099999999989	0.0220441130569569	0.0783099999999747
0.250099999999989	0.023307348933419	0.083019999999973
0.252099999999989	0.0246346462065982	0.0879799999999714
0.254099999999988	0.026028802872951	0.0931999999999684
0.256099999999988	0.0274927191088141	0.0986799999999668
0.258099999999988	0.0290294002786919	0.104439999999965
0.260099999999988	0.0306419600113274	0.110499999999962
0.262099999999987	0.0323336233445737	0.116859999999959
0.264099999999987	0.0341077299400891	0.123529999999957
0.266099999999987	0.0359677373688696	0.130539999999953
0.268099999999987	0.0379172244686341	0.137889999999951
0.270099999999987	0.0399598947740701	0.145599999999948
0.272099999999986	0.0420995800209405	0.153689999999943
0.274099999999986	0.0443402437250453	0.16215999999994
0.276099999999986	0.0466859848370195	0.171039999999935
0.278099999999986	0.0491410414739396	0.180339999999931
0.280099999999985	0.0517097947286906	0.190069999999929
0.282099999999985	0.0543967725580355	0.200269999999923
0.284099999999985	0.0572066537503037	0.210939999999918
0.286099999999985	0.0601442719735957	0.222099999999913
0.288099999999985	0.0632146199053766	0.233769999999909
0.290099999999984	0.066422853444299	0.245979999999903
0.292099999999984	0.0697742960050675	0.258739999999897
0.294099999999984	0.0732744428971204	0.272069999999891
0.296099999999984	0.0769289657878624	0.285999999999884
0.298099999999983	0.0807437172511419	0.300559999999876
0.300099999999983	0.0847247354016142	0.31574999999987
0.302099999999983	0.0888782486155808	0.331609999999863
0.304099999999983	0.0932106803388363	0.348159999999856
0.306099999999983	0.0977286539819871	0.365429999999847
0.308099999999982	0.102438997903639	0.383439999999838
0.310099999999982	0.107348750481772	0.402229999999828
0.312099999999982	0.112465165273536	0.42180999999982
0.314099999999982	0.117795716263615	0.44221999999981
0.316099999999982	0.123348103201191	0.4634899999998
0.318099999999981	0.129130257025461	0.485649999999788
0.320099999999981	0.135150345379514	0.508729999999777
0.322099999999981	0.141416778212262	0.532759999999765
0.324099999999981	0.14793821346798	0.557769999999754
0.32609999999998	0.154723562862869	0.583809999999739
0.32809999999998	0.161781997747883	0.610899999999726
0.33009999999998	0.169122955056898	0.639089999999712
0.33209999999998	0.176756143339115	0.668399999999697
0.33409999999998	0.184691548874393	0.698879999999683
0.336099999999979	0.192939441869984	0.730569999999664
0.338099999999979	0.201510382736922	0.76349999999965
0.340099999999979	0.210415228444073	0.79772999999963
0.342099999999979	0.229753935799904	0.833279999999614
0.344099999999978	0.229753935799904	0.870209999999594
0.346099999999978	0.229753935799904	0.908559999999574
0.348099999999978	0.229753935799904	0.948369999999555
0.350099999999978	0.229753935799904	0.989699999999533
0.352099999999978	0.229753935799904	1.03258999999951
0.354099999999977	0.229753935799904	1.07708999999949
0.356099999999977	0.229753935799904	1.12325999999946
0.358099999999977	0.229753935799904	1.17112999999944
0.360099999999977	0.229753935799904	1.22077999999941
0.362099999999976	0.229753935799904	1.27223999999938
0.364099999999976	0.919015743199618	1.32557999999936
0.366099999999976	0.919015743199618	1.38085999999933
0.368099999999976	0.919015743199618	1.43812999999929
0.370099999999976	0.919015743199618	1.49744999999926
0.372099999999975	0.919015743199618	1.55887999999923
0.374099999999975	0.919015743199618	1.62248999999919
