t	fg_A
0	0	0
0.002	0	0
0.0041	6.72881738405357E-09	3.03014E-08
0.006	6.8894988935003E-09	3.02756E-08
0.00800000000000001	7.1858600958242E-09	3.02877E-08
0.0101	7.6494600909691E-09	3.03858E-08
0.0121	8.25152431636927E-09	3.04355E-08
0.0141	9.02914860616692E-09	3.05021E-08
0.0161	1.00049912089162E-08	3.05899E-08
0.0180999999999999	1.11730727695864E-08	3.07033999999999E-08
0.0200999999999999	1.25087059720817E-08	3.08475999999999E-08
0.0220999999999999	1.40129983474614E-08	3.10274999999999E-08
0.0240999999999999	1.56869005439189E-08	3.12486999999999E-08
0.0260999999999999	1.75312613293001E-08	3.15170999999998E-08
0.0280999999999999	1.95468667675423E-08	3.18390999999998E-08
0.0300999999999999	2.17344668503612E-08	3.22213999999998E-08
0.0320999999999999	2.40947928645938E-08	3.26712999999998E-08
0.0341	2.66285682415247E-08	3.31965999999999E-08
0.036	2.91969699115796E-08	3.35835E-08
0.0380000000000001	3.20710500799124E-08	3.42789000000001E-08
0.0400000000000001	3.51207170262656E-08	3.50782000000003E-08
0.0420000000000002	3.83467025823291E-08	3.59925000000004E-08
0.0440000000000002	4.17497426294858E-08	3.70338000000006E-08
0.0460000000000003	4.53305765334296E-08	3.82153000000007E-08
0.0480000000000003	4.90899463810467E-08	3.95516000000009E-08
0.0500000000000004	5.30285961428125E-08	4.1058700000001E-08
0.0520000000000005	5.71472708350071E-08	4.27542000000011E-08
0.0540000000000005	6.14467157244085E-08	4.46577000000013E-08
0.0560000000000006	6.59276755979696E-08	4.67908000000014E-08
0.0580000000000006	7.05908941073763E-08	4.91773000000015E-08
0.0600000000000007	7.54371131906813E-08	5.18436000000016E-08
0.0620000000000007	8.0467072568692E-08	5.48188000000016E-08
0.0640000000000008	8.5681509311302E-08	5.81351000000016E-08
0.0660000000000009	9.10811574677477E-08	6.18280000000016E-08
0.0680000000000009	9.6666747754356E-08	6.59369000000015E-08
0.070000000000001	1.02439007293397E-07	7.05050000000014E-08
0.072000000000001	1.08398659396993E-07	7.55800000000012E-08
0.0740000000000011	1.17276300037049E-07	8.12144000000009E-08
0.0760000000000012	1.34943764583729E-07	8.74659000000006E-08
0.0780000000000012	1.53486753102327E-07	9.43979000000001E-08
0.0800000000000013	1.72945438185885E-07	1.08421000000011E-07
0.0820000000000013	1.93362960019218E-07	1.26202000000013E-07
0.0840000000000014	2.14785486690172E-07	1.46586000000015E-07
0.0860000000000014	2.37262311948016E-07	1.69895000000018E-07
0.0880000000000015	2.60845981423984E-07	1.96486000000021E-07
0.0900000000000016	2.85592442095227E-07	2.26749000000025E-07
0.0920000000000016	3.11561211952862E-07	2.6111300000003E-07
0.0940000000000017	3.38815568157568E-07	3.00046000000035E-07
0.0960000000000017	3.67422752805903E-07	3.4406200000004E-07
0.0980000000000018	3.9745419598635E-07	3.93717000000047E-07
0.100000000000002	4.28985756184125E-07	4.49622000000054E-07
0.102000000000002	4.62097978353805E-07	5.12436000000064E-07
0.104000000000002	4.96876370140387E-07	5.82877000000073E-07
0.106000000000002	5.33411696791445E-07	6.61724000000084E-07
0.108000000000002	5.71800295255445E-07	7.49818000000097E-07
0.110000000000002	6.12144407828721E-07	8.4806800000011E-07
0.112000000000002	6.5455253567586E-07	9.57458000000126E-07
0.114000000000002	6.99583484112532E-07	1.07905000000014E-06
0.116000000000002	7.48259082981423E-07	1.21397000000016E-06
0.118000000000002	8.00875192949136E-07	1.36347000000019E-06
0.120000000000002	8.57729587105498E-07	1.52884000000021E-06
0.122000000000002	9.19140236993723E-07	1.71152000000024E-06
0.124000000000003	9.85446435572018E-07	1.91300000000027E-06
0.126000000000002	1.05700996609687E-06	2.13493000000029E-06
0.128000000000002	1.13421631817116E-06	2.37903000000029E-06
0.130000000000002	1.21747595222071E-06	2.64716000000028E-06
0.132000000000002	1.30722561368349E-06	2.94131000000027E-06
0.134000000000002	1.40392969821667E-06	3.26359000000026E-06
0.136000000000001	1.50808166924776E-06	3.61625000000025E-06
0.138000000000001	1.62020552921751E-06	4.00170000000023E-06
0.140000000000001	1.74085734588355E-06	4.4224900000002E-06
0.142000000000001	1.87062683507581E-06	4.88134000000016E-06
0.144	2.01013900131658E-06	5.38113000000012E-06
0.146	2.16005583774013E-06	5.92494000000007E-06
0.148	2.3210780867695E-06	6.51601000000001E-06
0.1501	2.50291536147244E-06	7.19126999999992E-06
0.1521	2.68906772566852E-06	7.89022999999984E-06
0.154099999999999	2.88872138575832E-06	8.64759999999974E-06
0.156099999999999	3.10275333120367E-06	9.46750999999964E-06
0.158099999999999	3.33208917428452E-06	1.03542999999995E-05
0.160099999999999	3.57770531075017E-06	1.13124999999993E-05
0.162099999999998	3.84063115215741E-06	1.23468999999992E-05
0.164099999999998	4.12195143154193E-06	1.3462799999999E-05
0.166099999999998	4.42280858409291E-06	1.46653999999988E-05
0.168099999999998	4.74440520452595E-06	1.59603999999985E-05
0.170099999999998	5.08800658287372E-06	1.73537999999983E-05
0.172099999999997	5.4549433204393E-06	1.8851899999998E-05
0.174099999999997	5.84661402768192E-06	2.04612999999976E-05
0.176099999999997	6.26448810583053E-06	2.21889999999972E-05
0.178099999999997	6.71010861404594E-06	2.40422999999968E-05
0.180099999999996	7.18509522397834E-06	2.60287999999964E-05
0.182099999999996	7.69114726359283E-06	2.81565999999959E-05
0.184099999999996	8.23004685216175E-06	3.04342999999954E-05
0.186099999999996	8.80366212834904E-06	3.28705999999948E-05
0.188099999999996	9.41395057333786E-06	3.54748999999941E-05
0.190099999999995	1.006296243098E-05	3.82569999999934E-05
0.192099999999995	1.07528442269714E-05	4.12270999999926E-05
0.194099999999995	1.14858423890869E-05	4.43959999999917E-05
0.196099999999995	1.22643069705304E-05	4.77746999999908E-05
0.198099999999995	1.30906954784895E-05	5.13751999999898E-05
0.200099999999994	1.39675768100048E-05	5.52094999999887E-05
0.202099999999994	1.48976352972946E-05	5.92906999999875E-05
0.204099999999994	1.58836748647036E-05	6.36319999999862E-05
0.206099999999994	1.69286232994679E-05	6.82474999999848E-05
0.208099999999993	1.80355366385207E-05	7.31518999999834E-05
0.210099999999993	1.92076036735842E-05	7.83603999999817E-05
0.212099999999993	2.0448150576827E-05	8.388889999998E-05
0.214099999999993	2.17606456493871E-05	8.97539999999781E-05
0.216099999999993	2.31487041950922E-05	9.59731999999762E-05
0.218099999999992	2.46160935217327E-05	0.000102563999999974
0.220099999999992	2.61667380722699E-05	0.000109546999999972
0.222099999999992	2.78047246883884E-05	0.000116938999999969
0.224099999999992	2.95343080088275E-05	0.000124762999999966
0.226099999999991	3.13599160049516E-05	0.000133038999999964
0.228099999999991	3.32861556560438E-05	0.000141788999999961
0.230099999999991	3.53178187668322E-05	0.000151036999999957
0.232099999999991	3.74598879297823E-05	0.000160805999999954
0.234099999999991	3.97175426347105E-05	0.00017112099999995
0.23609999999999	4.20961655282981E-05	0.000182008999999946
0.23809999999999	4.46013488261053E-05	0.000193494999999942
0.24009999999999	4.72389008797052E-05	0.000205608999999937
0.24209999999999	5.00148529015773E-05	0.000218378999999932
0.244099999999989	5.29354658504203E-05	0.000231834999999927
0.246099999999989	5.60072374795551E-05	0.000246007999999922
0.248099999999989	5.92369095511126E-05	0.000260930999999916
0.250099999999989	6.26314752187066E-05	0.00027663799999991
0.252099999999989	6.61981865813097E-05	0.000293162999999903
0.254099999999988	6.99445624110581E-05	0.000310543999999896
0.256099999999988	7.38783960577177E-05	0.000328815999999889
0.258099999999988	7.80077635325513E-05	0.000348019999999881
0.260099999999988	8.234103177433E-05	0.000368194999999873
0.262099999999987	8.68868671002301E-05	0.000389383999999864
0.264099999999987	9.16542438443541E-05	0.000411628999999855
0.266099999999987	9.66524531866118E-05	0.000434975999999845
0.268099999999987	0.00010189111217468	0.000459469999999834
0.270099999999987	0.000107380172941752	0.000485159999999824
0.272099999999986	0.000113129932122774	0.000512095999999811
0.274099999999986	0.000119151040471818	0.000540327999999799
0.276099999999986	0.000125454512683257	0.000569908999999787
0.278099999999986	0.000132051737419327	0.000600895999999772
0.280099999999985	0.000138954487546658	0.000633343999999759
0.282099999999985	0.000146174930584285	0.000667310999999744
0.284099999999985	0.000153725639365613	0.000702859999999727
0.286099999999985	0.000161619602916754	0.000740050999999711
0.288099999999985	0.000169870237553558	0.000778950999999693
0.290099999999984	0.000178491398199621	0.000819623999999675
0.292099999999984	0.000187497389927437	0.000862141999999655
0.294099999999984	0.000196902979724787	0.000906572999999637
0.296099999999984	0.000206723408488331	0.000952992999999614
0.298099999999983	0.000216974403246269	0.000999999999999836
0.300099999999983	0.000227672189611797	0.00105
0.302099999999983	0.000238833504468937	0.0011
0.304099999999983	0.000250475608892179	0.00116
0.306099999999983	0.000262616301301175	0.00121999999999826
0.308099999999982	0.000275273930851549	0.00127999999999824
0.310099999999982	0.000288467411062694	0.00134
0.312099999999982	0.000302216233683166	0.00140999999999819
0.314099999999982	0.000316540482794074	0.00147
0.316099999999982	0.000331460849150576	0.00154
0.318099999999981	0.000346998644761311	0.00161999999999813
0.320099999999981	0.000363175817705278	0.00169999999999811
0.322099999999981	0.000380014967185345	0.00177999999999808
0.324099999999981	0.000397539358817173	0.00185999999999806
0.32609999999998	0.000415772940151982	0.00194999999999804
0.32809999999998	0.000434740356431135	0.00203999999999802
0.33009999999998	0.000454466966570046	0.002129999999998
0.33209999999998	0.000474978859368455	0.00222999999999797
0.33409999999998	0.000496302869943529	0.00232999999999795
0.336099999999979	0.000518466596381726	0.00243
0.338099999999979	0.000541498416604701	0.00254
0.340099999999979	0.000565427505443892	0.00265999999999789
0.342099999999979	0.000592234908409457	0.00277999999999786
0.344099999999978	0.000622768110173532	0.00289999999999784
