t	fg_V
0	0	0
0.002	0	0
0.0041	5.51960644356358E-13	5.27465E-12
0.006	5.71849113365298E-13	5.26791E-12
0.00800000000000001	6.09141426856127E-13	5.27109E-12
0.0101	6.69030897052614E-13	5.29672E-12
0.0121	7.49551151596619E-13	5.3097E-12
0.0141	8.57966244311476E-13	5.32713999999999E-12
0.0161	1.00074877475028E-12	5.35015999999999E-12
0.0180999999999999	1.18102459232281E-12	5.37996999999998E-12
0.0200999999999999	1.39900277603237E-12	5.41789999999998E-12
0.0220999999999999	1.65880985248431E-12	5.46536999999997E-12
0.0240999999999999	1.9647428394382E-12	5.52392999999996E-12
0.0260999999999999	2.32123839438294E-12	5.59525999999995E-12
0.0280999999999999	2.73284958658716E-12	5.68121999999994E-12
0.0300999999999999	3.204228559714E-12	5.78384999999993E-12
0.0320999999999999	3.74011362010219E-12	5.90539999999994E-12
0.0341	4.34531959544525E-12	6.04839999999997E-12
0.036	4.98892153481027E-12	6.15446E-12
0.0380000000000001	5.74340933793597E-12	6.34659000000004E-12
0.0400000000000001	6.58180575174717E-12	6.56986000000008E-12
0.0420000000000002	7.50917174972162E-12	6.82839000000012E-12
0.0440000000000002	8.53062210771411E-12	7.12684000000017E-12
0.0460000000000003	9.651323302028E-12	7.47061000000021E-12
0.0480000000000003	1.08764917961649E-11	7.86585000000026E-12
0.0500000000000004	1.2211392620804E-11	8.3196900000003E-12
0.0520000000000005	1.3661338177149E-11	8.84033000000036E-12
0.0540000000000005	1.52316872121783E-11	9.43724000000041E-12
0.0560000000000006	1.69278439276282E-11	1.01214000000005E-11
0.0580000000000006	1.87552571941909E-11	1.09055000000005E-11
0.0600000000000007	2.07194198494527E-11	1.18044000000005E-11
0.0620000000000007	2.28258680632785E-11	1.28349000000006E-11
0.0640000000000008	2.50801807581782E-11	1.40171000000006E-11
0.0660000000000009	2.74879790750383E-11	1.53737000000006E-11
0.0680000000000009	3.00549258767415E-11	1.69314000000006E-11
0.070000000000001	3.27867252838061E-11	1.87210000000006E-11
0.072000000000001	3.56891222374023E-11	2.07783000000005E-11
0.0740000000000011	4.01620048136929E-11	2.31446000000004E-11
0.0760000000000012	4.95711772022663E-11	2.58677000000002E-11
0.0780000000000012	6.01320968839625E-11	2.9003E-11
0.0800000000000013	7.19223164483198E-11	3.57002000000052E-11
0.0820000000000013	8.50276015099197E-11	4.48334000000067E-11
0.0840000000000014	9.95422374531677E-11	5.61227000000086E-11
0.0860000000000014	1.15569474082247E-10	7.00281000000112E-11
0.0880000000000015	1.33222084776527E-10	8.70959000000141E-11
0.0900000000000016	1.52623027849415E-10	1.07974000000018E-10
0.0920000000000016	1.73906204539256E-10	1.33427000000023E-10
0.0940000000000017	1.97217312403844E-10	1.64355000000028E-10
0.0960000000000017	2.22714795880798E-10	2.01815000000036E-10
0.0980000000000018	2.50570897981954E-10	2.47045000000044E-10
0.100000000000002	2.8097281883264E-10	3.01489000000055E-10
0.102000000000002	3.14123988229892E-10	3.66825000000068E-10
0.104000000000002	3.5024546067449E-10	4.45006000000084E-10
0.106000000000002	3.89577442468679E-10	5.38289000000102E-10
0.108000000000002	4.32380961465805E-10	6.49282000000125E-10
0.110000000000002	4.78939690929517E-10	7.80991000000152E-10
0.112000000000002	5.29561939914686E-10	9.36871000000186E-10
0.114000000000002	5.85139373049431E-10	1.12088000000022E-09
0.116000000000002	6.47258848171997E-10	1.33756000000027E-09
0.118000000000002	7.16716268437644E-10	1.59209000000033E-09
0.120000000000002	7.94375034530269E-10	1.89036000000039E-09
0.122000000000002	8.81196305774161E-10	2.23909000000047E-09
0.124000000000003	9.78249274414762E-10	2.64590000000056E-09
0.126000000000002	1.08672241034693E-09	3.11943000000063E-09
0.128000000000002	1.20793575580497E-09	3.66944000000066E-09
0.130000000000002	1.34335435495129E-09	4.30696000000068E-09
0.132000000000002	1.49460290901766E-09	5.04442000000071E-09
0.134000000000002	1.66348175367703E-09	5.89580000000071E-09
0.136000000000001	1.85198426166739E-09	6.8768200000007E-09
0.138000000000001	2.06231578036473E-09	8.00509000000067E-09
0.140000000000001	2.29691422102357E-09	9.30037000000061E-09
0.142000000000001	2.55847242378528E-09	1.07847000000005E-08
0.144	2.84996243030815E-09	1.24828000000004E-08
0.146	3.17466180401706E-09	1.44220000000002E-08
0.148	3.53618214651681E-09	1.66331E-08
0.1501	3.95976347745427E-09	1.92844999999997E-08
0.1521	4.40963466992931E-09	2.21632999999993E-08
0.154099999999999	4.90973989433996E-09	2.54297999999989E-08
0.156099999999999	5.4653864512236E-09	2.91308999999983E-08
0.158099999999999	6.08239924257975E-09	3.33179999999976E-08
0.160099999999999	6.76716628837677E-09	3.80483999999967E-08
0.162099999999998	7.52668776694208E-09	4.33848999999957E-08
0.164099999999998	8.36862881325599E-09	4.93971999999944E-08
0.166099999999998	9.30137632212406E-09	5.61615999999929E-08
0.168099999999998	1.03341000167391E-08	6.37625999999912E-08
0.170099999999998	1.14768180572801E-08	7.22923999999891E-08
0.172099999999997	1.2740467478953E-08	8.18527999999867E-08
0.174099999999997	1.41369797642779E-08	9.25552999999837E-08
0.176099999999997	1.56793618704921E-08	1.04521999999981E-07
0.178099999999997	1.73817830496895E-08	1.17885999999977E-07
0.180099999999996	1.92596678167798E-08	1.32794999999972E-07
0.182099999999996	2.1329795438546E-08	1.49406999999967E-07
0.184099999999996	2.36104063360324E-08	1.67897999999961E-07
0.186099999999996	2.61213158122332E-08	1.88456999999955E-07
0.188099999999996	2.88840355375948E-08	2.11291999999947E-07
0.190099999999995	3.19219032472277E-08	2.36627999999939E-07
0.192099999999995	3.52602211259607E-08	2.64712999999929E-07
0.194099999999995	3.89264033805033E-08	2.95811999999917E-07
0.196099999999995	4.29501335220251E-08	3.30214999999905E-07
0.198099999999995	4.73635319074515E-08	3.68238999999891E-07
0.200099999999994	5.2201334113737E-08	4.10223999999874E-07
0.202099999999994	5.75010807463497E-08	4.56540999999856E-07
0.204099999999994	6.33033193111969E-08	5.07589999999836E-07
0.206099999999994	6.96518188082903E-08	5.63806999999813E-07
0.208099999999993	7.65937977356145E-08	6.25659999999787E-07
0.210099999999993	8.41801662229468E-08	6.93656999999757E-07
0.212099999999993	9.24657830478368E-08	7.68344999999724E-07
0.214099999999993	1.01509728319599E-07	8.50316999999689E-07
0.216099999999993	1.11375592652048E-07	9.40210999999649E-07
0.218099999999992	1.22131783681849E-07	1.03870999999961E-06
0.220099999999992	1.33851850826786E-07	1.14656999999956E-06
0.222099999999992	1.46614829217031E-07	1.2645699999995E-06
0.224099999999992	1.60505603772645E-07	1.39356999999944E-06
0.226099999999991	1.75615294442066E-07	1.53450999999937E-06
0.228099999999991	1.92041663659366E-07	1.68835999999929E-06
0.230099999999991	2.09889547122501E-07	1.85619999999921E-06
0.232099999999991	2.29271309040784E-07	2.03916999999912E-06
0.234099999999991	2.50307323047361E-07	2.23849999999902E-06
0.23609999999999	2.73126480021596E-07	2.45548999999891E-06
0.23809999999999	2.97866724117072E-07	2.69156999999878E-06
0.24009999999999	3.24675618343328E-07	2.94823999999865E-06
0.24209999999999	3.53710941103621E-07	3.2271199999985E-06
0.244099999999989	3.85141315146929E-07	3.52993999999834E-06
0.246099999999989	4.19146870450037E-07	3.85853999999816E-06
0.248099999999989	4.55919942605117E-07	4.21490999999797E-06
0.250099999999989	4.95665808349563E-07	4.60115999999775E-06
0.252099999999989	5.38603459938081E-07	5.01954999999751E-06
0.254099999999988	5.84966420122295E-07	5.47247999999726E-06
0.256099999999988	6.35003599570219E-07	5.96251999999697E-06
0.258099999999988	6.88980198627177E-07	6.49240999999667E-06
0.260099999999988	7.4717865539092E-07	7.06507999999635E-06
0.262099999999987	8.09899642146956E-07	7.68363999999597E-06
0.264099999999987	8.77463112285473E-07	8.35139999999557E-06
0.266099999999987	9.50209399898724E-07	9.07188999999515E-06
0.268099999999987	1.0285003743373E-06	9.84885999999468E-06
0.270099999999987	1.11272065208559E-06	1.06862999999942E-05
0.272099999999986	1.20327886840064E-06	1.15884999999936E-05
0.274099999999986	1.30060901124472E-06	1.2559899999993E-05
0.276099999999986	1.40517182013052E-06	1.36052999999924E-05
0.278099999999986	1.51745625258811E-06	1.47298999999917E-05
0.280099999999985	1.63798102105597E-06	1.59388999999909E-05
0.282099999999985	1.76729620309316E-06	1.72381999999901E-05
0.284099999999985	1.90598492790697E-06	1.86338999999892E-05
0.286099999999985	2.05466514228986E-06	2.01322999999882E-05
0.288099999999985	2.21399145916097E-06	2.17402999999872E-05
0.290099999999984	2.38465709201116E-06	2.3465099999986E-05
0.292099999999984	2.5673958786563E-06	2.53143999999849E-05
0.294099999999984	2.76298439781125E-06	2.72962999999836E-05
0.296099999999984	2.97224418210688E-06	2.94193999999821E-05
0.298099999999983	3.19604403128384E-06	3.16927999999807E-05
0.300099999999983	3.43530242941048E-06	3.4125999999979E-05
0.302099999999983	3.69099007008707E-06	3.67292999999773E-05
0.304099999999983	3.96413249371561E-06	3.95132999999754E-05
0.306099999999983	4.2558128410322E-06	4.24892999999733E-05
0.308099999999982	4.5671747272184E-06	4.56692999999711E-05
0.310099999999982	4.89942524102866E-06	4.90659999999688E-05
0.312099999999982	5.25383807349219E-06	5.26925999999663E-05
0.314099999999982	5.63175678086925E-06	5.65632999999636E-05
0.316099999999982	6.03459818666503E-06	6.06926999999607E-05
0.318099999999981	6.46385592762601E-06	6.50965999999575E-05
0.320099999999981	6.92110414876678E-06	6.97913999999541E-05
0.322099999999981	7.40800135259665E-06	7.47943999999506E-05
0.324099999999981	7.9262944078365E-06	8.01238999999468E-05
0.32609999999998	8.47782272303589E-06	8.57990999999428E-05
0.32809999999998	9.06452259061844E-06	9.18402999999385E-05
